名前,生年月日,血液型,身長,合格期,選抜回数
入山杏奈,1995/12/03,B,160.2,10期生,13回
大家志津香,1991/12/28,O,167.0,4期生,5回
小嶋菜月,1995/03/08,A,155.0,11期生,0回
佐々木優佳里,1995/08/28,B,158.0,12期生,1回
白間美瑠,1997/10/14,B,160.0,1期生,NMB48 16回 AKB48 6回
田北香世子,1997/02/13,O,157.0,ドラフト1期生,0回
谷口めぐ,1998/11/12,A,159.0,15期生,0回
中西智代梨,1995/05/12,O,160.0,HKT48 1期生,AKB48 0回 HKT48 2回
樋渡結依,2000/04/30,A,151.0,ドラフト2期生,1回
宮崎美穂,1993/07/30,O,160.0,5期生,10回
宮脇咲良,1998/03/19,A,163.0,1期生,HKT48 10回 AKB48 17回
横山由依,1992/12/08,B,159.0,9期生,AKB48 28回 NMB48 1回
阿部マリア,1995/11/29,B,168.0,10期生,4回
市川愛美,1999/08/26,A,157.0,15期生,0回
久保怜音,2003/11/20,O,157.0,ドラフト2期生,1回
兒玉遥,1996/09/19,O,158.0,1期生,HKT48 10回 AKB48 11回
篠崎彩奈,1996/01/08,B,154.0,13期生,0回
下口ひなな,2001/07/19,O,161.0,ドラフト1期生,
田野優花,1997/03/07,O,150.0,12期生,3回
藤田奈那,1996/12/28,A,164.0,10期生,0回
峯岸みなみ,1992/11/15,B,158.0,1期生,39回（インディーズ1曲含む）
向井地美音,1998/01/29,O,150.0,15期生,9回
武藤十夢,1994/11/25,B,156.0,12期生,7回
茂木忍,1997/02/16,AB,162.0,13期生,0回
湯本亜美,1997/10/03,O,156.0,15期生,1回
柏木由紀,1991/07/15,B,164.0,3期生,AKB48 40回 NMB48 2回 NGT48 2回
加藤玲奈,1997/07/10,B,160.0,10期生,11回
後藤萌咲,2001/05/20,O,168.0,ドラフト1期生,0回
竹内美宥,1996/01/12,O,154.5,9期生,2回
達家真姫宝,2001/10/19,B,161.7,15期生,0回
西川怜,2003/10/25,B,149.0,ドラフト2期生,0回
福岡聖菜,2000/08/01,O,155.0,15期生,0回
馬嘉伶,1996/12/21,不明,158.0,AKB48台湾オーディション,
矢吹奈子,2001/06/18,不明,148.1,3期生,HKT48 7回 AKB48 0回
山邊歩夢,2002/02/03,B,149.0,ドラフト2期生,0回
渡辺麻友,1994/03/26,AB,156.0,3期生,43回
飯野雅,1997/09/29,B,164.0,15期生,0回
岩立沙穂,1994/10/04,B,157.0,13期生,0回
大川莉央,2001/03/01,A,160.0,15期生,0回
大森美優,1998/09/03,B,161.0,12期生,0回
岡田奈々,1997/11/07,A,155.0,14期生,AKB48 9回 STU48 1回
川本紗矢,1998/08/31,B,155.0,ドラフト1期生,6回
北川綾巴,1998/10/09,B,163.0,6期生,SKE48 10回 AKB48 3回
北澤早紀,1997/06/05,A,151.0,13期生,0回
小嶋真子,1997/05/30,O,160.0,14期生,10回
込山榛香,1998/09/12,B,154.0,15期生,3回
佐藤妃星,2000/08/11,B,150.0,15期生,0回
渋谷凪咲,1996/08/25,A,163.2,4期生,NMB48 8回 AKB48 1回
高橋朱里,1997/10/03,A,158.5,12期生,11回
千葉恵里,2003/10/27,不明,160.0,ドラフト2期生,0回
朝長美桜,1998/05/17,O,154.0,2期生,HKT48 10回 AKB48 3回
野澤玲奈,1998/05/06,B,168.0,JKT48 1期生,AKB48 0回 JKT48 2回
村山彩希,1997/06/15,O,155.0,13期生,0回
坂口渚沙,2000/12/23,A,149.0,チーム8,1回
横山結衣,2001/02/22,O,159.0,チーム8,0回
谷川聖,2000/12/26,A,160.0,チーム8,0回
佐藤七海,2000/01/19,A,162.0,チーム8,0回
早坂つむぎ,2001/05/12,B,163.5,チーム8,0回
佐藤朱,1996/11/09,A,170.5,チーム8,0回
舞木香純,1997/04/28,O,162.7,チーム8,0回
岡部麟,1996/11/07,不明,158.4,チーム8,1回
本田仁美,2001/10/06,A,158.1,チーム8,0回
清水麻璃亜,1997/09/29,A,158.3,チーム8,0回
髙橋彩音,1997/12/30,B,152.7,チーム8,0回
吉川七瀬,1998/07/21,A,162.7,チーム8,0回
小栗有以,2001/12/26,不明,162.0,チーム8,4回
小田えりな,1997/04/25,A,165.0,チーム8,1回
佐藤栞,1998/02/03,O,158.3,チーム8,0回
左伴彩佳,1998/07/29,A,155.0,チーム8,0回
歌田初夏,2002/07/08,A,155.7,チーム8,0回
横道侑里,2000/10/23,A,150.2,チーム8,0回
服部有菜,2001/03/30,A,160.1,チーム8,0回
野田陽菜乃,2004/02/15,A,145.0,チーム8,0回
橋本陽菜,2000/05/25,A,150.4,チーム8,0回
平野ひかる,2003/01/29,O,151.8,チーム8,0回
長久玲奈,2000/05/11,O,165.0,チーム8,0回
髙橋彩香,2001/11/22,O,159.5,チーム8,0回
永野芹佳,2001/03/27,O,155.0,チーム8,0回
太田奈緒,1994/12/05,AB,159.6,チーム8,0回
山田菜々美,1999/02/09,B,156.1,チーム8,1回
山本瑠香,2000/10/10,O,154.7,チーム8,0回
大西桃香,1997/09/20,B,156.0,チーム8,1回
濵咲友菜,2001/08/20,A,146.8,チーム8,0回
中野郁海,2000/08/20,不明,166.6,チーム8,2回
人見古都音,2001/01/19,A,165.0,チーム8,0回
奥本陽菜,2003/10/09,O,,チーム8,0回
下尾みう,2001/04/03,A,161.4,チーム8,0回
春本ゆき,1999/12/24,,,チーム8,0回
行天優莉奈,1999/03/14,O,162.0,チーム8,0回
高岡薫,2000/11/29,A,153.0,チーム8,0回
廣瀬なつき,1997/06/09,O,161.8,チーム8,0回
吉田華恋,2002/08/27,O,160.4,チーム8,0回
川原美咲,2002/04/03,A,,チーム8,0回
寺田美咲,1999/12/28,A,153.5,チーム8,0回
倉野尾成美,2000/11/08,A,152.0,チーム8,0回
山田杏華,2002/11/03,A,151.0,チーム8,0回
谷口もか,2001/05/28,O,149.9,チーム8,0回
下青木香鈴,2000/10/28,A,148.3,チーム8,0回
宮里莉羅,2002/03/30,O,162.2,チーム8,0回
浅井七海,2000/05/20,O,166.0,16期,0回
稲垣香織,1997/10/31,B,156.0,16期,0回
梅本和泉,1998/10/16,A,154.0,16期,0回
黒須遥香,2001/02/28,O,160.0,16期,0回
佐藤美波,2003/08/03,O,153.0,16期,0回
庄司なぎさ,2000/10/29,A,154.0,16期,0回
鈴木くるみ,2004/09/02,A,151.0,16期,0回
田口愛佳,2003/12/12,不明,152.0,16期,0回
田屋美咲,2004/07/14,不明,154.2,16期,0回
長友彩海,2000/11/02,O,161.0,16期,0回
播磨七海,2004/08/02,A,150.0,16期,0回
本間麻衣,2002/09/06,O,162.0,16期,0回
前田彩佳,2000/12/18,O,158.0,16期,0回
道枝咲,2003/12/20,不明,157.0,16期,0回
武藤小麟,2000/07/22,AB,153.0,16期,0回
安田叶,2002/03/11,A,154.0,16期,0回
山内瑞葵,2001/09/20,O,160.0,16期,0回
山根涼羽,2000/08/11,A,160.0,16期,0回
一色嶺奈,2002/02/15,O,163.0,ドラフト2期生,0回
犬塚あさな,1994/03/19,A,153.0,4期生,0回
井上瑠夏,2001/06/12,O,156.0,8期生,0回
大矢真那,1990/11/06,AB,158.0,1期生,18回
上村亜柚香,2004/01/27,A,155.5,ドラフト2期生,0回
北川愛乃,2001/01/24,O,158.0,8期生,0回
後藤理沙子,1997/05/29,A,161.0,,0回
杉山愛佳,2002/03/05,B,154.0,7期生,0回
都築里佳,1995/11/08,O,154.5,4期生,0回
野島樺乃,2001/09/06,O,162.0,7期生,0回
野村実代,2003/02/01,A,159.0,8期生,0回
町音葉,2001/11/06,A,158.0,7期生,0回
松井珠理奈,1997/03/08,B,163.0,1期生,SKE48 22回 AKB48 38回
松本慈子,1999/11/19,O,161.0,ドラフト1期生,0回
山内鈴蘭,1994/12/08,O,152.0,AKB48 9期生,SKE48 1回 AKB48 2回
山田樹奈,1998/05/25,A,148.0,6期生,0回
青木詩織,1996/04/22,O,153.0,6期生,0回
荒井優希,1998/05/07,A,164.0,ドラフト1期生,0回
内山命,1995/11/14,AB,165.0,2期生,0回
江籠裕奈,2000/03/29,O,163.0,5期生,6回
太田彩夏,2000/08/17,B,152.0,7期生,0回
大場美奈,1992/04/03,A,150.0,AKB48 9期生,SKE48 11回 AKB48 2回
小畑優奈,2001/12/18,O,152.0,7期生,SKE48 2回 AKB48 1回
片岡成美,2003/03/13,A,137.0,7期生,0回
北野瑠華,1999/05/25,A,157.0,6期生,2回
白井琴望,2002/12/01,B,157.0,ドラフト2期生,0回
惣田紗莉渚,1993/01/18,B,161.0,ドラフト1期生,SKE48 7回 AKB48 1回
高木由麻奈,1993/08/23,A,164.0,4期生,0回
髙塚夏生,2000/08/29,A,157.0,ドラフト1期生,0回
高柳明音,1991/11/29,B,154.0,2期生,SKE48 21回 NMB48 1回 AKB48 4回
竹内彩姫,1999/11/24,B,153.0,6期生,3回
日高優月,1998/04/01,O,160.0,6期生,3回
古畑奈和,1996/09/15,O,160.3,5期生,SKE48 11回 AKB48 4回
松村香織,1990/01/17,O,156.0,3期生,SKE48 3回 AKB48 1回
水野愛理,2002/09/21,A,152.5,ドラフト2期生,0回
矢作有紀奈,1995/03/13,B,156.0,8期生,1回
相川暖花,2003/10/22,O,140.0,7期生,0回
浅井裕華,2003/11/10,O,158.0,7期生,0回
井田玲音名,1998/12/03,AB,163.0,6期生,0回
市野成美,1999/04/14,O,156.5,5期生,0回
鎌田菜月,1996/08/29,O,163.0,6期生,1回
木本花音,1997/08/11,AB,152.0,4期生,SKE48 18回 HKT48 2回 AKB48 4回
熊崎晴香,1997/08/10,O,160.0,6期生,5回
後藤楽々,2000/07/23,AB,153.0,7期生,SKE48 5回 AKB48 3回
斉藤真木子,1994/06/28,A,153.0,2期生,1回
佐藤佳穂,1997/05/16,A,158.0,8期生,0回
佐藤すみれ,1993/11/20,O,165.0,AKB48 7期生,SKE48 4回 AKB48 3回
末永桜花,2002/02/26,A,153.0,7期生,0回
菅原茉椰,2000/01/10,不明,163.0,ドラフト2期生,2回
須田亜香里,1991/10/31,A,159.0,3期生,SKE48 19回 AKB48 10回
髙寺沙菜,1999/11/15,AB,156.0,ドラフト1期生,0回
髙畑結希,1995/07/18,A,153.0,7期生,0回
谷真理佳,1996/01/05,B,161.0,HKT48 2期生,SKE48 5回 HKT48 1回
福士奈央,1999/04/23,O,159.0,ドラフト1期生,0回
渥美彩羽,2002/03/19,O,152.0,8期生,0回
石川咲姫,2001/05/05,不明,153.0,8期生,0回
石黒友月,2003/10/11,AB,147.0,8期生,0回
大芝りんか,2001/10/29,B,154.0,8期生,0回
岡田美紅,1997/11/13,A,155.0,8期生,0回
倉島杏実,2005/06/28,不明,140.0,8期生,0回
坂本真凛,2002/02/02,B,160.0,8期生,0回
白雪希明,1998/08/30,B,159.5,8期生,0回
仲村和泉,2000/03/15,A,154.0,8期生,0回
野々垣美希,1999/10/07,O,156.0,8期生,0回
深井ねがい,2003/01/16,O,157.0,8期生,0回
森平莉子,2000/11/24,A,160.0,8期生,0回
和田愛菜,2000/02/28,A,156.0,7期生,0回
東由樹,1996/02/17,O,160.0,2期生,0回
市川美織,1994/02/12,O,148.0,AKB48 10期生,NMB48 8回 AKB48 4回
梅山恋和,2003/08/07,O,150.0,5期生,0回
日下このみ,1996/01/12,B,155.5,3期生,4回
古賀成美,1998/03/30,B,161.5,2期生,0回
小嶋花梨,1999/07/16,A,163.0,5期生,0回
谷川愛梨,1995/12/05,O,158.0,2期生,13回
内木志,1997/04/06,A,163.5,ドラフト1期生,1回
林萌々香,1998/09/11,O,158.0,2期生,0回
堀詩音,1996/05/29,O,158.5,ドラフト2期生,0回
本郷柚巴,2003/01/12,B,148.0,ドラフト2期生,0回
松村芽久未,1995/06/26,AB,158.0,4期生,0回
溝川実来,2004/05/13,A,152.0,5期生,0回
三田麻央,1995/09/09,A,161.0,2期生,0回
山尾梨奈,1995/12/10,A,147.0,4期生,0回
山本彩加,2002/08/06,A,155.5,5期生,NMB48 2回 AKB48 3回
山本彩,1993/07/14,B,155.0,1期生,NMB48 17回 AKB48 24回
安藤愛璃菜,2003/11/21,B,150.0,ドラフト2期生,0回
石田優美,1998/10/12,B,159.0,2期生,1回
磯佳奈江,1993/08/09,B,151.5,ドラフト1期生,0回
岩田桃夏,2001/07/02,O,154.0,5期生,1回
鵜野みずき,1996/10/23,A,169.0,2期生,NMB48 0回 AKB48 1回
大段舞依,1994/10/04,A,155.0,4期生,0回
加藤夕夏,1997/08/01,A,164.0,3期生,13回
川上千尋,1998/12/17,A,154.0,4期生,1回
川上礼奈,1995/09/16,O,162.0,1期生,0回
中野麗来,1999/08/24,A,165.0,4期生,0回
西澤瑠莉奈,1999/07/27,B,164.0,2期生,0回
安田桃寧,2001/06/08,O,150.0,ドラフト2期生,0回
山田寿々,2001/12/11,A,153.0,5期生,0回
吉田朱里,1996/08/16,AB,165.0,1期生,NMB48 14回 AKB48 4回
明石奈津子,1999/08/17,B,153.0,4期生,0回
石塚朱莉,1997/07/11,A,161.5,3期生,0回
井尻晏菜,1995/01/20,B,159.8,3期生,0回
植村梓,1999/02/04,O,157.5,ポスト山田菜々,2回
太田夢莉,1999/12/01,AB,162.0,3期生,6回
沖田彩華,1995/10/11,AB,157.5,1期生,4回
久代梨奈,1999/01/29,O,162.0,3期生,3回
清水里香,1998/09/15,O,160.0,5期生,0回
城恵理子,1998/11/27,A,156.5,4.5期生（元2期生）,NMB48 7回 AKB48 1回
上西怜,2001/05/28,A,151.0,5期生,1回
武井紗良,1998/10/06,O,160.0,ドラフト1期生,0回
中川美音,2002/11/16,不明,148.0,5期生,0回
水田詩織,1998/12/21,B,153.0,5期生,0回
村瀬紗英,1997/03/30,A,159.0,2期生,8回
森田彩花,1995/05/29,O,158.0,4期生,0回
矢倉楓子,1997/02/24,A,156.0,2期生,NMB48 14回 AKB48 2回
秋吉優花,2000/10/24,B,157.0,2期生,2回
宇井真白,2000/01/31,A,155.0,2期生,0回
上野遥,1999/09/20,A,155.0,2期生,0回
神志那結衣,1998/01/24,AB,163.0,2期生,5回
駒田京伽,1996/11/21,A,158.0,2期生,1回
坂口理子,1994/07/26,A,164.0,2期生,2回
指原莉乃,1992/11/21,O,159.0,AKB48 5期生,HKT48 10回 AKB48 33回 STU48 1回
田島芽瑠,2000/01/07,B,163.0,2期生,HKT48 9回 AKB48 2回
田中菜津美,2000/08/10,A,170.4,1期生,HKT48 1回 SKE48 0回
田中美久,2001/09/12,B,149.0,3期生,HKT48 7回 AKB48 1回
豊永阿紀,1999/10/25,B,158.0,4期生,1回
松岡菜摘,1996/08/08,A,161.0,1期生,9回
山田麻莉奈,1995/03/24,B,155.0,2期生,0回
山本茉央,1996/09/18,不明,156.0,ドラフト1期生,1回
今田美奈,1997/03/05,O,168.0,1期生,0回
岩花詩乃,2000/04/01,A,153.0,2期生,0回
植木南央,1997/08/12,AB,157.0,1期生,2回
運上弘菜,1998/08/09,B,155.0,4期生,0回
熊沢世莉奈,1997/04/17,O,164.0,1期生,0回
下野由貴,1998/04/02,O,162.0,1期生,2回
田中優香,2000/06/07,AB,159.0,2期生,2回
地頭江音々,2000/09/27,不明,156.0,4期生,1回
冨吉明日香,1997/09/20,O,159.0,2期生,2回
深川舞子,1999/07/05,B,159.0,1期生,0回
渕上舞,1996/09/21,A,157.0,2期生,7回
村重杏奈,1998/07/29,O,163.0,1期生,HKT48 4回 NMB48 0回
本村碧唯,1997/05/31,A,155.0,1期生,8回
森保まどか,1997/07/26,A,168.0,1期生,HKT48 9回 AKB48 1回
荒巻美咲,2001/01/28,不明,160.0,3期生,1回
今村麻莉愛,2003/09/14,不明,140.0,ドラフト2期生,1回
小田彩加,1999/02/09,不明,153.0,4期生,1回
栗原紗英,1996/06/20,O,164.0,3期生,1回
堺萌香,1998/08/25,A,148.0,4期生,0回
坂本愛玲菜,2000/09/12,A,153.0,3期生,1回
清水梨央,2003/10/11,AB,152.0,4期生,0回
武田智加,2003/02/25,不明,151.0,4期生,1回
月足天音,1999/10/26,O,151.0,4期生,2回
外薗葉月,1999/01/17,A,152.0,3期生,0回
松岡はな,2000/01/19,不明,159.0,ドラフト2期生,HKT48 4回 AKB48 4回
松本日向,2000/12/11,AB,163.0,4期生,0回
宮﨑想乃,2000/10/30,A,161.0,4期生,0回
村川緋杏,1999/12/03,O,157.0,ドラフト2期生,
山内祐奈,1999/07/06,A,155.0,3期生,0回
山下エミリー,1998/12/19,O,162.0,3期生,1回
荻野由佳,1999/02/16,A,160.0,ドラフト2期生,NGT48 2回 AKB48 2回
小熊倫実,2002/12/15,B,156.0,1期生,2回
加藤美南,1999/01/15,O,152.0,1期生,NGT48 2回 AKB48 1回
北原里英,1991/06/24,A,157.0,5期生,NGT48 2回 AKB48 30回 SKE48 1回
佐藤杏樹,2001/11/05,A,151.0,1期生,2回
菅原りこ,2000/11/23,O,155.0,1期生,2回
高倉萌香,2001/04/23,O,158.0,1期生,NGT48 2回 AKB48 1回
太野彩香,1997/07/20,B,158.0,1期生,2回
中井りか,1997/08/23,A,156.0,1期生,NGT48 2回 AKB48 4回
西潟茉莉奈,1995/10/16,O,158.0,ドラフト2期生,2回
長谷川玲奈,2001/03/15,O,158.0,1期生,2回
本間日陽,1999/11/10,B,159.0,1期生,NGT48 2回 AKB48 1回
村雲颯香,1997/07/05,O,163.0,1期生,2回
山口真帆,1995/09/17,O,161.0,1期生,2回
山田野絵,1999/10/07,A,158.0,1期生,2回
角ゆりあ,2000/06/22,A,154.0,1期生,1回
日下部愛菜,2002/02/06,A,158.0,1期生,
清司麗菜,2001/04/19,O,151.0,1期生,
髙橋真生,2001/06/03,A,160.0,1期生,
中村歩加,1998/07/28,AB,161.0,1期生,
奈良未遥,1998/03/20,A,160.0,1期生,
西村菜那子,1997/08/11,O,163.0,1期生,
宮島亜弥,1997/11/27,O,160.0,1期生,1回
石田千穂,2002/03/17,O,157.0,1期,1回
石田みなみ,1998/10/11,O,153.0,1期,1回
磯貝花音,2000/06/01,A,163.0,1期,1回
市岡愛弓,2003/08/21,A,158.0,1期,1回
今村美月,2000/02/19,O,158.0,1期,1回
岩田陽菜,2003/02/21,A,148.0,1期,1回
大谷満理奈,2004/02/14,A,156.0,1期,0回
尾﨑舞美,2000/12/18,O,166.0,1期,0回
甲斐心愛,2003/11/28,B,149.0,1期,0回
門田桃奈,1999/08/26,O,161.0,1期,0回
門脇実優菜,2003/03/11,O,152.0,1期,1回
榊美優,2002/04/28,O,151.0,1期,0回
佐野遥,1995/08/16,A,166.0,1期,1回
塩井日奈子,2000/01/07,B,160.0,1期,0回
新谷野々花,2004/05/23,O,146.0,1期,0回
菅原早記,2001/11/14,B,160.0,1期,0回
瀧野由美子,1997/09/24,O,164.0,1期,STU48 1回 AKB48 1回
田中皓子,1996/06/16,A,159.0,1期,0回
谷口茉妃菜,2000/02/03,A,160.0,1期,0回
張織慧,2001/10/18,A,159.0,1期,0回
土路生優里,1999/03/24,AB,158.0,1期,1回
兵頭葵,2001/01/18,A,159.0,1期,0回
福田朱里,1999/03/29,O,164.0,1期,1回
藤原あずさ,1998/05/10,A,163.0,1期,1回
三島遥香,1998/04/18,B,156.0,1期,0回
峯吉愛梨沙,2004/09/02,A,147.0,1期,0回
森香穂,1997/06/01,B,151.0,1期,1回
森下舞羽,2004/10/04,A,153.0,1期,0回
矢野帆夏,1999/08/06,B,157.0,1期,0回
薮下楓,2000/10/07,AB,154.0,1期,1回
秋元真夏,1993/08/20,B,153.0,1期生,16回
生田絵梨花,1997/01/22,A,160.0,1期生,18回
生駒里奈,1995/12/29,AB,153.0,1期生,乃木坂46 19回 AKB48 4回
伊藤かりん,1993/05/26,O,154.0,2期生,0回
伊藤純奈,1998/11/30,A,165.0,2期生,0回
伊藤万理華,1996/02/20,O,155.0,1期生,11回
井上小百合,1994/12/14,B,154.0,1期生,13回
衛藤美彩,1993/01/04,AB,162.0,1期生,12回
川後陽菜,1998/03/22,O,158.0,1期生,1回
川村真洋,1995/07/23,A,156.0,1期生,2回
北野日奈子,1996/07/17,O,157.0,2期生,5回
齋藤飛鳥,1998/08/10,O,154.0,1期生,12回
斎藤ちはる,1997/02/17,A,166.0,1期生,1回
斉藤優里,1993/07/20,O,156.0,1期生,8回
相楽伊織,1997/11/26,O,164.0,2期生,1回
桜井玲香,1994/05/16,A,155.0,1期生,19回
佐々木琴子,1998/08/28,A,163.0,2期生,0回
白石麻衣,1992/08/20,A,162.0,1期生,19回
新内眞衣,1992/01/22,B,164.0,2期生,5回
鈴木絢音,1999/03/05,O,162.0,2期生,0回
高山一実,1994/02/08,A,161.0,1期生,19回
寺田蘭世,1998/09/23,不明,155.0,2期生,1回
中田花奈,1994/08/06,A,157.0,1期生,7回
中元日芽香,1996/04/13,O,161.0,1期生,3回
西野七瀬,1994/05/25,O,159.0,1期生,19回
能條愛未,1994/10/18,A,163.0,1期生,2回
樋口日奈,1998/01/31,A,157.0,1期生,2回
星野みなみ,1998/02/06,B,152.0,1期生,17回
堀未央奈,1996/10/15,O,160.0,2期生,11回
松村沙友理,1992/08/27,B,163.0,1期生,19回
山﨑怜奈,1997/05/21,B,164.0,2期生,0回
若月佑美,1994/06/27,O,157.0,1期生,17回
和田まあや,1998/04/23,O,157.0,1期生,1回
渡辺みり愛,1999/11/01,O,151.0,2期生,0回
伊藤理々杏,2002/10/08,B,154.0,3期生,
岩本蓮加,2004/02/02,B,157.0,3期生,
梅澤美波,1999/01/06,A,170.0,3期生,
久保史緒里,2001/07/14,O,159.0,3期生,
大園桃子,1999/09/13,O,156.0,3期生,1回
阪口珠美,2001/11/10,A,161.0,3期生,
佐藤楓,1998/03/23,A,161.0,3期生,
中村麗乃,2001/09/27,,167.0,3期生,
向井葉月,1999/08/23,A,152.0,3期生,
山下美月,1999/07/26,O,159.0,3期生,
吉田綾乃クリスティー,1995/09/06,A,161.0,3期生,
与田祐希,2000/05/05,O,152.0,3期生,1回
石森虹花,1997/05/07,A,162.0,1期生,5回
今泉佑唯,1998/09/30,O,154.0,1期生,5回
上村莉菜,1997/01/04,O,152.5,1期生,5回
尾関梨香,1997/10/07,O,155.0,1期生,5回
織田奈那,1998/06/04,O,161.1,1期生,5回
小池美波,1998/11/14,B,159.0,1期生,5回
小林由依,1999/10/23,A,160.0,1期生,5回
齋藤冬優花,1998/02/15,O,157.0,1期生,5回
佐藤詩織,1996/11/16,A,162.0,1期生,5回
志田愛佳,1998/11/23,A,165.0,1期生,5回
菅井友香,1995/11/29,AB,163.5,1期生,5回
鈴本美愉,1997/12/05,AB,155.0,1期生,5回
長沢菜々香,1997/04/23,A,158.0,1期生,5回
長濱ねる,1998/09/04,O,157.0,1.5期,4回
土生瑞穗,1997/07/07,A,171.0,1期生,5回
原田葵,2000/05/07,AB,156.0,1期生,5回
平手友梨奈,2001/06/25,O,165.0,1期生,5回
守屋茜,1997/11/12,A,163.0,1期生,5回
米谷奈々未,2000/02/24,B,157.0,1期生,5回
渡辺梨加,1995/05/16,O,165.0,1期生,5回
渡邉理佐,1998/07/27,O,163.0,1期生,5回
井口眞緒,1995/11/10,AB,163.0,けやき坂46,0回
潮紗理菜,1997/12/26,O,157.0,けやき坂46,0回
柿崎芽実,2001/12/02,A,156.0,けやき坂46,0回
影山優佳,2001/05/08,O,154.0,けやき坂46,0回
加藤史帆,1998/02/02,A,159.0,けやき坂46,0回
齊藤京子,1997/09/05,A,155.0,けやき坂46,0回
佐々木久美,1996/01/22,O,166.0,けやき坂46,0回
佐々木美玲,1999/12/17,O,163.0,けやき坂46,0回
高瀬愛奈,1998/09/20,A,157.0,けやき坂46,0回
高本彩花,1998/11/02,B,160.0,けやき坂46,0回
東村芽依,1998/08/23,O,153.0,けやき坂46,0回
金村美玖,2002/09/10,O,,けやき坂46 2期,0回
河田陽菜,2001/07/23,B,,けやき坂46 2期,0回
小坂菜緒,2002/09/07,O,,けやき坂46 2期,0回
富田鈴花,2001/01/18,A,,けやき坂46 2期,0回
丹生明里,2001/02/15,AB,,けやき坂46 2期,0回
濱岸ひより,2002/09/28,A,,けやき坂46 2期,0回
松田好花,1999/04/27,A,,けやき坂46 2期,0回
宮田愛萌,1998/04/28,A,,けやき坂46 2期,0回
渡邉美穂,2000/02/24,不明,,けやき坂46 2期,0回
