名前,グループ,チーム,公式ニックネーム,所属事務所,生年月日,年齢,出身地,血液型,身長(cm),スリーサイズ,合格期,選抜回数,グループ(兼任),チーム(兼任),サイリウム
入山杏奈,AKB48,チームA,あんにん,太田プロダクション,1995/12/03,21,千葉県,B,160.2,B78 W57 H83,10期生,13回,,,
大家志津香,AKB48,チームA,しいちゃん,ワタナベエンターテインメント,1991/12/28,25,福岡県,O,167,,4期生,5回,,,
小嶋菜月,AKB48,チームA,なっつん,AKS,1995/03/08,22,千葉県,A,155,,11期生,0回,,,
佐々木優佳里,AKB48,チームA,ゆかるん,AKS,1995/08/28,22,埼玉県,B,158,,12期生,1回,,,
白間美瑠,NMB48,チームM,みるるん,Showtitle,1997/10/14,20,大阪府,B,160,,1期生,NMB48 16回 AKB48 6回,AKB48,チームA,
田北香世子,AKB48,チームA,かよよん,AKS,1997/02/13,20,千葉県,O,157,,ドラフト1期生,0回,,,
谷口めぐ,AKB48,チームA,おめぐ,AKS,1998/11/12,19,東京都,A,159,,15期生,0回,,,
中西智代梨,AKB48,チームA,ちょり,AKS,1995/05/12,22,福岡県,O,160,,HKT48 1期生,AKB48 0回 HKT48 2回,,,
樋渡結依,AKB48,チームA,ひーわたん,,2000/04/30,17,埼玉県,A,151,,ドラフト2期生,1回,,,
宮崎美穂,AKB48,チームA,みゃお,ホリプロ,1993/07/30,24,東京都,O,160,B77 W58 H83,5期生,10回,,,
宮脇咲良,HKT48,チームKIV,さくら,AKS,1998/03/19,19,鹿児島県,A,163,,1期生,HKT48 10回 AKB48 17回,AKB48,チームA,
横山由依,AKB48,チームA,ゆいはん,太田プロダクション,1992/12/08,24,京都府,B,159,B74 W58 H86,9期生,AKB48 28回 NMB48 1回,,,
阿部マリア,AKB48,チームK,あべまる,ジャパン・ミュージックエンターテインメント,1995/11/29,21,神奈川県,B,168,,10期生,4回,,,
市川愛美,AKB48,チームK,まなみ,AKS,1999/08/26,18,東京都,A,157,,15期生,0回,,,
久保怜音,AKB48,チームK,さとぴー,AKS,2003/11/20,14,神奈川県,O,157,,ドラフト2期生,1回,,,
兒玉遥,HKT48,チームH,はるっぴ,AKS,1996/09/19,21,福岡県,O,158,,1期生,HKT48 10回 AKB48 11回,AKB48,チームK,
篠崎彩奈,AKB48,チームK,あやなん,AKS,1996/01/08,21,埼玉県,B,154,,13期生,0回,,,
下口ひなな,AKB48,チームK,ひなな,AKS,2001/07/19,16,千葉県,O,161,,ドラフト1期生,,,,
田野優花,AKB48,チームK,たのちゃん,AKS,1997/03/07,20,東京都,O,150,,12期生,3回,,,
藤田奈那,AKB48,チームK,なぁな,AKS,1996/12/28,20,東京都,A,164,,10期生,0回,,,
峯岸みなみ,AKB48,チームK,みいちゃん,プロダクション尾木,1992/11/15,25,東京都,B,158,B80 W60 H86,1期生,39回（インディーズ1曲含む）,,,
向井地美音,AKB48,チームK,みーおん,Mama＆Son,1998/01/29,19,埼玉県,O,150,,15期生,9回,,,
武藤十夢,AKB48,チームK,とむ,AKS,1994/11/25,23,東京都,B,156,,12期生,7回,,,
茂木忍,AKB48,チームK,もぎちゃん,AKS,1997/02/16,20,千葉県,AB,162,,13期生,0回,,,
湯本亜美,AKB48,チームK,ゆあみ,AKS,1997/10/03,20,埼玉県,O,156,,15期生,1回,,,
柏木由紀,AKB48,チームB,ゆきりん,ワタナベエンターテインメント,1991/07/15,26,鹿児島県,B,164,,3期生,AKB48 40回 NMB48 2回 NGT48 2回,NGT48,チームNIII,
加藤玲奈,AKB48,チームB,れなっち,Mama＆Son,1997/07/10,20,千葉県,B,160,B75 W58 H83,10期生,11回,,,
後藤萌咲,AKB48,チームB,もえきゅん,AKS,2001/05/20,16,愛知県,O,168,,ドラフト1期生,0回,,,
竹内美宥,AKB48,チームB,みゆみゆ,オー・エンタープライズ,1996/01/12,21,東京都,O,154.5,B74 W59 H78,9期生,2回,,,
達家真姫宝,AKB48,チームB,まきちゃん,AKS,2001/10/19,16,東京都,B,161.7,,15期生,0回,,,
西川怜,AKB48,チームB,れい,AKS,2003/10/25,14,東京都,B,149,,ドラフト2期生,0回,,,
福岡聖菜,AKB48,チームB,せいちゃん,AKS,2000/08/01,17,神奈川県,O,155,,15期生,0回,,,
馬嘉伶,AKB48,チームB,まちゃりん,AKS,1996/12/21,20,台湾（中華民国）,不明,158,,AKB48台湾オーディション,,,,
矢吹奈子,HKT48,チームH,なこ,AKS,2001/06/18,16,東京都,不明,148.1,,3期生,HKT48 7回 AKB48 0回,AKB48,チームB,
山邊歩夢,AKB48,チームB,あゆ,AKS,2002/02/03,15,千葉県,B,149,,ドラフト2期生,0回,,,
渡辺麻友,AKB48,チームB,まゆゆ,プロダクション尾木,1994/03/26,23,埼玉県,AB,156,B71 W55 H82,3期生,43回,,,
飯野雅,AKB48,チーム4,みやび,AKS,1997/09/29,20,東京都,B,164,,15期生,0回,,,
岩立沙穂,AKB48,チーム4,さっほー,AKS,1994/10/04,23,神奈川県,B,157,,13期生,0回,,,
大川莉央,AKB48,チーム4,りお、りおりん,AKS,2001/03/01,16,東京都,A,160,,15期生,0回,,,
大森美優,AKB48,チーム4,みゆぽん,AKS,1998/09/03,19,神奈川県,B,161,,12期生,0回,,,
岡田奈々,AKB48,チーム4,なぁちゃん,AKS,1997/11/07,20,神奈川県,A,155,,14期生,AKB48 9回 STU48 1回,,,
川本紗矢,AKB48,チーム4,さやや,AKS,1998/08/31,19,北海道,B,155,,ドラフト1期生,6回,,,
北川綾巴,SKE48,チームS,りょうは,AKS,1998/10/09,19,愛知県,B,163,,6期生,SKE48 10回 AKB48 3回,AKB48,チーム4,水色 紫
北澤早紀,AKB48,チーム4,さっきー,AKS,1997/06/05,20,愛知県,A,151,,13期生,0回,,,
小嶋真子,AKB48,チーム4,こじまこ,サンミュージックプロダクション,1997/05/30,20,東京都,O,160,,14期生,10回,,,
込山榛香,AKB48,チーム4,こみはる,AKS,1998/09/12,19,千葉県,B,154,,15期生,3回,,,
佐藤妃星,AKB48,チーム4,きぃちゃん,AKS,2000/08/11,17,千葉県,B,150,,15期生,0回,,,
渋谷凪咲,NMB48,チームM,なぎさ,Showtitle,1996/08/25,21,大阪府,A,163.2,,4期生,NMB48 8回 AKB48 1回,AKB48,チーム4,
高橋朱里,AKB48,チーム4,じゅり,AKS,1997/10/03,20,茨城県,A,158.5,,12期生,11回,,,
千葉恵里,AKB48,チーム4,えりい,AKS,2003/10/27,14,神奈川県,不明,160,,ドラフト2期生,0回,,,
朝長美桜,HKT48,チームKIV,みお,AKS,1998/05/17,19,福岡県,O,154,B78 W58 H84,2期生,HKT48 10回 AKB48 3回,AKB48,チーム4,
野澤玲奈,AKB48,チーム4,レナチャン,AKS,1998/05/06,19,東京都,B,168,,JKT48 1期生,AKB48 0回 JKT48 2回,,,
村山彩希,AKB48,チーム4,ゆいりー,AKS,1997/06/15,20,神奈川県,O,155,,13期生,0回,,,
坂口渚沙,AKB48,チーム8,なぎ,AKS,2000/12/23,16,北海道,A,149,,チーム8,1回,AKB48,チームB,
横山結衣,AKB48,チーム8,ヨコちゃん,AKS,2001/02/22,16,青森県,O,159,,チーム8,0回,,,
谷川聖,AKB48,チーム8,ひじりん,AKS,2000/12/26,16,秋田県,A,160,,チーム8,0回,,,
佐藤七海,AKB48,チーム8,ななみん,AKS,2000/01/19,17,岩手県,A,162,,チーム8,0回,,,
早坂つむぎ,AKB48,チーム8,つっちゃん,AKS,2001/05/12,16,山形県,B,163.5,,チーム8,0回,,,
佐藤朱,AKB48,チーム8,あかりん,AKS,1996/11/09,21,宮城県,A,170.5,,チーム8,0回,,,
舞木香純,AKB48,チーム8,かすみん,AKS,1997/04/28,20,福島県,O,162.7,,チーム8,0回,,,
岡部麟,AKB48,チーム8,りんりん,AKS,1996/11/07,21,茨城県,不明,158.4,,チーム8,1回,,,
本田仁美,AKB48,チーム8,ひぃちゃん,AKS,2001/10/06,16,栃木県,A,158.1,,チーム8,0回,,,
清水麻璃亜,AKB48,チーム8,まりあ,AKS,1997/09/29,20,群馬県,A,158.3,,チーム8,0回,,,
髙橋彩音,AKB48,チーム8,あやね,AKS,1997/12/30,19,埼玉県,B,152.7,,チーム8,0回,,,
吉川七瀬,AKB48,チーム8,ななせ,AKS,1998/07/21,19,千葉県,A,162.7,,チーム8,0回,,,
小栗有以,AKB48,チーム8,ゆいゆい,AKS,2001/12/26,15,東京都,不明,162,,チーム8,4回,,,
小田えりな,AKB48,チーム8,おだえり,AKS,1997/04/25,20,神奈川県,A,165,,チーム8,1回,,,
佐藤栞,AKB48,チーム8,しおりん,AKS,1998/02/03,19,新潟県,O,158.3,,チーム8,0回,,,
左伴彩佳,AKB48,チーム8,ひだあや,AKS,1998/07/29,19,山梨県,A,155,,チーム8,0回,,,
歌田初夏,AKB48,チーム8,はっつ,AKS,2002/07/08,15,愛知県,A,155.7,,チーム8,0回,,,
横道侑里,AKB48,チーム8,ゆり,AKS,2000/10/23,17,静岡県,A,150.2,,チーム8,0回,,,
服部有菜,AKB48,チーム8,ゆうな,AKS,2001/03/30,16,岐阜県,A,160.1,,チーム8,0回,,,
野田陽菜乃,AKB48,チーム8,ひなのん,AKS,2004/02/15,13,三重県,A,145,,チーム8,0回,,,
橋本陽菜,AKB48,チーム8,はるpyon,AKS,2000/05/25,17,富山県,A,150.4,,チーム8,0回,,,
平野ひかる,AKB48,チーム8,ひか,AKS,2003/01/29,14,石川県,O,151.8,,チーム8,0回,,,
長久玲奈,AKB48,チーム8,くれな,AKS,2000/05/11,17,福井県,O,165,,チーム8,0回,,,
髙橋彩香,AKB48,チーム8,たかさや、さやりん,AKS,2001/11/22,16,長野県,O,159.5,,チーム8,0回,,,
永野芹佳,AKB48,チーム8,SERIKA,AKS,2001/03/27,16,大阪府,O,155,,チーム8,0回,,,
太田奈緒,AKB48,チーム8,なお,AKS,1994/12/05,22,京都府,AB,159.6,,チーム8,0回,,,
山田菜々美,AKB48,チーム8,山田,AKS,1999/02/09,18,兵庫県,B,156.1,,チーム8,1回,AKB48,チームA,
山本瑠香,AKB48,チーム8,るか,AKS,2000/10/10,17,和歌山県,O,154.7,,チーム8,0回,,,
大西桃香,AKB48,チーム8,おおにし,AKS,1997/09/20,20,奈良県,B,156,,チーム8,1回,,,
濵咲友菜,AKB48,チーム8,はまちゃん,AKS,2001/08/20,16,滋賀県,A,146.8,,チーム8,0回,,,
中野郁海,AKB48,チーム8,いくみん,AKS,2000/08/20,17,鳥取県,不明,166.6,,チーム8,2回,AKB48,チームK,
人見古都音,AKB48,チーム8,こっちゃん,AKS,2001/01/19,16,岡山県,A,165,,チーム8,0回,,,
奥本陽菜,AKB48,チーム8,のんのん,AKS,2003/10/09,14,広島県,O,,,チーム8,0回,,,
下尾みう,AKB48,チーム8,みう,AKS,2001/04/03,16,山口県,A,161.4,,チーム8,0回,,,
春本ゆき,AKB48,チーム8,ゆき,AKS,1999/12/24,17,徳島県,,,,チーム8,0回,,,
行天優莉奈,AKB48,チーム8,ゆりな,AKS,1999/03/14,18,香川県,O,162,,チーム8,0回,,,
高岡薫,AKB48,チーム8,かおるんば,AKS,2000/11/29,16,愛媛県,A,153,,チーム8,0回,,,
廣瀬なつき,AKB48,チーム8,なっちゃん,AKS,1997/06/09,20,高知県,O,161.8,,チーム8,0回,,,
吉田華恋,AKB48,チーム8,かれん,AKS,2002/08/27,15,福岡県,O,160.4,,チーム8,0回,,,
川原美咲,AKB48,チーム8,みっさー,AKS,2002/04/03,15,佐賀県,A,,,チーム8,0回,,,
寺田美咲,AKB48,チーム8,みさっきー,AKS,1999/12/28,17,長崎県,A,153.5,,チーム8,0回,,,
倉野尾成美,AKB48,チーム8,なる,AKS,2000/11/08,17,熊本県,A,152,,チーム8,0回,,,
山田杏華,AKB48,チーム8,きょうか,AKS,2002/11/03,15,大分県,A,151,,チーム8,0回,,,
谷口もか,AKB48,チーム8,もか,AKS,2001/05/28,16,宮崎県,O,149.9,,チーム8,0回,,,
下青木香鈴,AKB48,チーム8,かりん,AKS,2000/10/28,17,鹿児島県,A,148.3,,チーム8,0回,,,
宮里莉羅,AKB48,チーム8,らんりー,AKS,2002/03/30,15,沖縄県,O,162.2,,チーム8,0回,,,
浅井七海,AKB48,研究生,なーみん,AKS,2000/05/20,17,神奈川県,O,166,,16期,0回,,,
稲垣香織,AKB48,研究生,かおり,AKS,1997/10/31,20,岡山県,B,156,,16期,0回,,,
梅本和泉,AKB48,研究生,いずみん,AKS,1998/10/16,19,山口県,A,154,,16期,0回,,,
黒須遥香,AKB48,研究生,はーちゃん,AKS,2001/02/28,16,埼玉県,O,160,,16期,0回,,,
佐藤美波,AKB48,研究生,みなみ,AKS,2003/08/03,14,神奈川県,O,153,,16期,0回,,,
庄司なぎさ,AKB48,研究生,なぎゅ,AKS,2000/10/29,17,北海道,A,154,,16期,0回,,,
鈴木くるみ,AKB48,研究生,くるるん,AKS,2004/09/02,13,東京都,A,151,,16期,0回,,,
田口愛佳,AKB48,研究生,まなか,AKS,2003/12/12,13,神奈川県,不明,152,,16期,0回,,,
田屋美咲,AKB48,研究生,たっちゃん,AKS,2004/07/14,13,東京都,不明,154.2,,16期,0回,,,
長友彩海,AKB48,研究生,あやみん,AKS,2000/11/02,17,神奈川県,O,161,,16期,0回,,,
播磨七海,AKB48,研究生,はりまちゃん,AKS,2004/08/02,13,千葉県,A,150,,16期,0回,,,
本間麻衣,AKB48,研究生,まいちゃん,AKS,2002/09/06,15,東京都,O,162,,16期,0回,,,
前田彩佳,AKB48,研究生,あやか,AKS,2000/12/18,16,神奈川県,O,158,,16期,0回,,,
道枝咲,AKB48,研究生,さきぽん,AKS,2003/12/20,13,神奈川県,不明,157,,16期,0回,,,
武藤小麟,AKB48,研究生,おりん,AKS,2000/07/22,17,東京都,AB,153,,16期,0回,,,
安田叶,AKB48,研究生,かなぶん,AKS,2002/03/11,15,埼玉県,A,154,,16期,0回,,,
山内瑞葵,AKB48,研究生,ずっきー,AKS,2001/09/20,16,東京都,O,160,,16期,0回,,,
山根涼羽,AKB48,研究生,ずんちゃん,AKS,2000/08/11,17,兵庫県,A,160,,16期,0回,,,
一色嶺奈,SKE48,チームS,れなひゅー ひゅーさん ひゅーちゃん,AKS,2002/02/15,15,神奈川県,O,163,,ドラフト2期生,0回,,,紫
犬塚あさな,SKE48,チームS,わんちゃん,AKS,1994/03/19,23,愛知県,A,153,B82 W60 H87.7,4期生,0回,,,ピンク 白
井上瑠夏,SKE48,チームS,るーちゃん,AKS,2001/06/12,16,熊本県,O,156,,8期生,0回,,,黄 青
大矢真那,SKE48,チームS,まさにゃ,AKS,1990/11/06,27,愛知県,AB,158,B75 W57 H82,1期生,18回,,,青 白
上村亜柚香,SKE48,チームS,あーちゃん あゆか丸,AKS,2004/01/27,13,愛知県,A,155.5,,ドラフト2期生,0回,,,オレンジ 黄緑
北川愛乃,SKE48,チームS,よこにゃん,AKS,2001/01/24,16,大阪府,O,158,,8期生,0回,,,ピンク 水色
後藤理沙子,SKE48,チームS,りさちゃん,AKS,1997/05/29,20,愛知県,A,161,B77 W59 H82,,0回,,,ピンク 黄
杉山愛佳,SKE48,チームS,あいあい,AKS,2002/03/05,15,愛知県,B,154,,7期生,0回,,,赤 緑 濃いピンク
都築里佳,SKE48,チームS,りかちゃん ぴよす,AKS,1995/11/08,22,愛知県,O,154.5,B74 W58 H79,4期生,0回,,,青 ペパーミントグリーン
野島樺乃,SKE48,チームS,かのちゃん,AKS,2001/09/06,16,愛知県,O,162,,7期生,0回,,,紫 黄
野村実代,SKE48,チームS,みよまる,AKS,2003/02/01,14,愛知県,A,159,,8期生,0回,,,黄緑 黄緑
町音葉,SKE48,チームS,まっち,AKS,2001/11/06,16,岐阜県,A,158,,7期生,0回,,,水色 黄緑 黄
松井珠理奈,SKE48,チームS,じゅりな,アービング,1997/03/08,20,愛知県,B,163,B78 W60 H85,1期生,SKE48 22回 AKB48 38回,,,オレンジ 緑
松本慈子,SKE48,チームS,ちかこ,AKS,1999/11/19,18,大阪府,O,161,,ドラフト1期生,0回,,,ピンク オレンジ
山内鈴蘭,SKE48,チームS,らんらん,ホリプロ,1994/12/08,22,千葉県,O,152,,AKB48 9期生,SKE48 1回 AKB48 2回,,,白 緑
山田樹奈,SKE48,チームS,じゅなっこ,AKS,1998/05/25,19,愛知県,A,148,B73.5 W59.6 H74.7,6期生,0回,,,オレンジ 黄 青 or オレンジ
青木詩織,SKE48,チームKII,おしりん,AKS,1996/04/22,21,静岡県,O,153,B79.5 W58.5 H86,6期生,0回,,,青 黄 白
荒井優希,SKE48,チームKII,ゆき,AKS,1998/05/07,19,京都府,A,164,,ドラフト1期生,0回,,,緑 紫
内山命,SKE48,チームKII,みこってぃ,AKS,1995/11/14,22,三重県,AB,165,B80 W61 H89,2期生,0回,,,黄 + オレンジ
江籠裕奈,SKE48,チームKII,えごちゃん,AKS,2000/03/29,17,愛知県,O,163,,5期生,6回,,,ピンク 黄
太田彩夏,SKE48,チームKII,あやめろ,AKS,2000/08/17,17,岐阜県,B,152,,7期生,0回,,,赤 オレンジ 黄
大場美奈,SKE48,チームKII,みなるん,ジャパン・ミュージックエンターテインメント,1992/04/03,25,神奈川県,A,150,,AKB48 9期生,SKE48 11回 AKB48 2回,,,水色 水色
小畑優奈,SKE48,チームKII,ゆなな,AKS,2001/12/18,15,愛知県,O,152,,7期生,SKE48 2回 AKB48 1回,,,黄 ピンク 黄
片岡成美,SKE48,チームKII,なるぴー,AKS,2003/03/13,14,愛知県,A,137,,7期生,0回,,,ピンク 紫
北野瑠華,SKE48,チームKII,るかてぃん,AKS,1999/05/25,18,岐阜県,A,157,B76.5 W58.5 H85.5,6期生,2回,,,黄 黄
白井琴望,SKE48,チームKII,こっちゃん,AKS,2002/12/01,14,愛知県,B,157,,ドラフト2期生,0回,,,赤 白
惣田紗莉渚,SKE48,チームKII,さりー,AKS,1993/01/18,24,埼玉県,B,161,,ドラフト1期生,SKE48 7回 AKB48 1回,,,水色 赤
高木由麻奈,SKE48,チームKII,ゆまな,AKS,1993/08/23,24,愛知県,A,164,B77 W55 H86,4期生,0回,,,白 白
髙塚夏生,SKE48,チームKII,なっち,AKS,2000/08/29,17,大阪府,A,157,,ドラフト1期生,0回,,,水色 白
高柳明音,SKE48,チームKII,ちゅり,エイベックス・マネジメント,1991/11/29,25,愛知県,B,154,,2期生,SKE48 21回 NMB48 1回 AKB48 4回,,,黄 緑 ウィンブルドンへ連れて行って： ピンク
竹内彩姫,SKE48,チームKII,さきぽん,AKS,1999/11/24,18,愛知県,B,153,,6期生,3回,,,ピンク 青
日高優月,SKE48,チームKII,ゆづき,AKS,1998/04/01,19,愛知県,O,160,B76 W61 H83,6期生,3回,,,赤 赤
古畑奈和,SKE48,チームKII,なお,AKS,1996/09/15,21,愛知県,O,160.3,B73 W60 H80.5,5期生,SKE48 11回 AKB48 4回,,,黄緑 水色
松村香織,SKE48,チームKII,かおたん,AKS,1990/01/17,27,埼玉県,O,156,,3期生,SKE48 3回 AKB48 1回,,,赤 緑 白
水野愛理,SKE48,チームKII,あいり,AKS,2002/09/21,15,愛知県,A,152.5,,ドラフト2期生,0回,,,赤 水色 黄
矢作有紀奈,SKE48,チームKII,きな,AKS,1995/03/13,22,埼玉県,B,156,,8期生,1回,,,ピンク 紫 白
相川暖花,SKE48,チームE,ほのの,AKS,2003/10/22,14,愛知県,O,140,,7期生,0回,,,オレンジ 水色 ピンク
浅井裕華,SKE48,チームE,ゆうかたん,AKS,2003/11/10,14,愛知県,O,158,,7期生,0回,,,ピンク
井田玲音名,SKE48,チームE,れおな,AKS,1998/12/03,18,三重県,AB,163,B77 W63 H88.5,6期生,0回,,,ピンク 黄 水色
市野成美,SKE48,チームE,なる,AKS,1999/04/14,18,愛知県,O,156.5,B69.5 W60.5 H77,5期生,0回,,,水色 水色 ピンク or 水色 のみ
鎌田菜月,SKE48,チームE,なっきぃ,AKS,1996/08/29,21,愛知県,O,163,B81 W64 H88,6期生,1回,,,白 紫 白
木本花音,SKE48,チームE,のん,AKS,1997/08/11,20,愛知県,AB,152,B75 W58 H82,4期生,SKE48 18回 HKT48 2回 AKB48 4回,,,ピンク 赤 黄
熊崎晴香,SKE48,チームE,くまちゃん,AKS,1997/08/10,20,愛知県,O,160,B74 W58 H82,6期生,5回,,,赤 紫
後藤楽々,SKE48,チームE,らら,AKS,2000/07/23,17,愛知県,AB,153,,7期生,SKE48 5回 AKB48 3回,,,黄 水色 白
斉藤真木子,SKE48,チームE,まっきぃ,AKS,1994/06/28,23,大阪府,A,153,B80 W60 H85,2期生,1回,,,赤 緑
佐藤佳穂,SKE48,チームE,さとかほ,AKS,1997/05/16,20,愛知県,A,158,,8期生,0回,,,水色 黄
佐藤すみれ,SKE48,チームE,すーめろ,ホリプロ,1993/11/20,24,埼玉県,O,165,,AKB48 7期生,SKE48 4回 AKB48 3回,,,薄紫 薄紫
末永桜花,SKE48,チームE,おーちゃん,AKS,2002/02/26,15,愛知県,A,153,,7期生,0回,,,ピンク ピンク ピンク
菅原茉椰,SKE48,チームE,まーやん,AKS,2000/01/10,17,宮城県,不明,163,,ドラフト2期生,2回,,,緑
須田亜香里,SKE48,チームE,あかりん,TWIN PLANET,1991/10/31,26,愛知県,A,159,B77 W56 H81,3期生,SKE48 19回 AKB48 10回,,,赤 1本
髙寺沙菜,SKE48,チームE,さーなん,AKS,1999/11/15,18,京都府,AB,156,,ドラフト1期生,0回,,,黄 緑 青 （緑は真ん中固定）
髙畑結希,SKE48,チームE,はたごん,AKS,1995/07/18,22,香川県,A,153,,7期生,0回,,,青 白 白
谷真理佳,SKE48,チームE,まりか,AKS,1996/01/05,21,福岡県,B,161,,HKT48 2期生,SKE48 5回 HKT48 1回,,,レインボー 白
福士奈央,SKE48,チームE,どんちゃん,AKS,1999/04/23,18,栃木県,O,159,,ドラフト1期生,0回,,,緑 オレンジ 緑
渥美彩羽,SKE48,研究生,あや,AKS,2002/03/19,15,静岡県,O,152,,8期生,0回,,,オレンジ 紫
石川咲姫,SKE48,研究生,さきりん,AKS,2001/05/05,16,愛知県,不明,153,,8期生,0回,,,黄 黄緑 ピンク
石黒友月,SKE48,研究生,ゆづ,AKS,2003/10/11,14,愛知県,AB,147,,8期生,0回,,,赤 黄
大芝りんか,SKE48,研究生,りんか,AKS,2001/10/29,16,埼玉県,B,154,,8期生,0回,,,赤 オレンジ
岡田美紅,SKE48,研究生,みぃぽぽ,AKS,1997/11/13,20,徳島県,A,155,,8期生,0回,,,ピンク 白 白
倉島杏実,SKE48,研究生,あみちゃん,AKS,2005/06/28,12,神奈川県,不明,140,,8期生,0回,,,黄 白
坂本真凛,SKE48,研究生,まりん,AKS,2002/02/02,15,愛知県,B,160,,8期生,0回,,,青 水色
白雪希明,SKE48,研究生,こはちゃん,AKS,1998/08/30,19,愛知県,B,159.5,,8期生,0回,,,白 赤 白
仲村和泉,SKE48,研究生,いずりん,AKS,2000/03/15,17,大阪府,A,154,,8期生,0回,,,赤 青 白 （青は真ん中固定）
野々垣美希,SKE48,研究生,のの,AKS,1999/10/07,18,愛知県,O,156,,8期生,0回,,,白 水色
深井ねがい,SKE48,研究生,ねがい,AKS,2003/01/16,14,大阪府,O,157,,8期生,0回,,,白 水色 白
森平莉子,SKE48,研究生,りこりん,AKS,2000/11/24,17,広島県,A,160,,8期生,0回,,,赤 青
和田愛菜,SKE48,研究生,あいな,AKS,2000/02/28,17,愛知県,A,156,,7期生,0回,,,オレンジ 黄 緑
東由樹,NMB48,チームN,ゆきつん,Showtitle,1996/02/17,21,兵庫県,O,160,,2期生,0回,,,
市川美織,NMB48,チームN,みおりん、レモンちゃん,プロダクション尾木,1994/02/12,23,埼玉県,O,148,,AKB48 10期生,NMB48 8回 AKB48 4回,,,
梅山恋和,NMB48,チームN,ココナ,Showtitle,2003/08/07,14,大阪府,O,150,,5期生,0回,,,
日下このみ,NMB48,チームN,このみん,Showtitle,1996/01/12,21,大阪府,B,155.5,,3期生,4回,,,
古賀成美,NMB48,チームN,なる,Showtitle,1998/03/30,19,大阪府,B,161.5,,2期生,0回,,,
小嶋花梨,NMB48,チームN,こじりん,Showtitle,1999/07/16,18,埼玉県,A,163,,5期生,0回,,,
谷川愛梨,NMB48,チームN,あいり,Showtitle,1995/12/05,21,大阪府,O,158,,2期生,13回,,,
内木志,NMB48,チームN,ここちゃん,Showtitle,1997/04/06,20,滋賀県,A,163.5,,ドラフト1期生,1回,,,
林萌々香,NMB48,チームN,モカ,Showtitle,1998/09/11,19,京都府,O,158,,2期生,0回,,,
堀詩音,NMB48,チームN,しおん,Showtitle,1996/05/29,21,北海道,O,158.5,,ドラフト2期生,0回,,,
本郷柚巴,NMB48,チームN,ゆず,Showtitle,2003/01/12,14,大阪府,B,148,,ドラフト2期生,0回,,,
松村芽久未,NMB48,チームN,めぐみん,Showtitle,1995/06/26,22,大阪府,AB,158,,4期生,0回,,,
溝川実来,NMB48,チームN,みらい,Showtitle,2004/05/13,13,京都府,A,152,,5期生,0回,,,
三田麻央,NMB48,チームN,まおきゅん,Showtitle,1995/09/09,22,大阪府,A,161,,2期生,0回,,,
山尾梨奈,NMB48,チームN,やまりな,Showtitle,1995/12/10,21,京都府,A,147,,4期生,0回,,,
