チーム,ポジション,背番号,名前,生年月日,身長,体重
川崎フロンターレ,GK,1,チョン　ソンリョン,1985/01/04,191,90
川崎フロンターレ,GK,24,安藤　駿介,1990/08/10,185,79
川崎フロンターレ,GK,30,新井　章太,1988/11/01,185,82
川崎フロンターレ,GK,31,ポープ　ウィリアム,1994/10/21,192,89
川崎フロンターレ,DF,2,登里　享平,1990/11/13,168,68
川崎フロンターレ,DF,3,奈良　竜樹,1993/09/19,180,77
川崎フロンターレ,DF,4,井川　祐輔,1982/10/30,182,81
川崎フロンターレ,DF,7,車屋　紳太郎,1992/04/05,178,73
川崎フロンターレ,DF,17,武岡　優斗,1986/06/24,178,73
川崎フロンターレ,DF,18,エウシーニョ,1989/11/30,180,78
川崎フロンターレ,DF,23,エドゥアルド,1993/04/27,184,84
川崎フロンターレ,DF,26,タビナス　ジェファーソン,1998/08/07,182,77
川崎フロンターレ,DF,28,板倉　滉,1997/01/27,186,75
川崎フロンターレ,DF,29,舞行龍ジェームズ,1988/09/17,185,82
川崎フロンターレ,MF,5,谷口　彰悟,1991/07/15,183,72
川崎フロンターレ,MF,6,田坂　祐介,1985/07/08,174,69
川崎フロンターレ,MF,8,阿部　浩之,1989/07/05,170,69
川崎フロンターレ,MF,10,大島　僚太,1993/01/23,168,64
川崎フロンターレ,MF,13,三好　康児,1997/03/26,167,64
川崎フロンターレ,MF,14,中村　憲剛,1980/10/31,175,66
川崎フロンターレ,MF,16,長谷川　竜也,1994/03/07,164,58
川崎フロンターレ,MF,19,森谷　賢太郎,1988/09/21,173,65
川崎フロンターレ,MF,21,エドゥアルド　ネット,1988/10/24,185,76
川崎フロンターレ,MF,25,狩野　健太,1986/05/02,177,70
川崎フロンターレ,MF,32,田中　碧,1998/09/10,177,69
川崎フロンターレ,MF,33,脇坂　泰斗,1995/06/11,172,65
川崎フロンターレ,MF,34,守田　英正,1995/05/10,177,74
川崎フロンターレ,MF,35,三笘　薫,1997/05/20,178,66
川崎フロンターレ,MF,41,家長　昭博,1986/06/13,173,70
川崎フロンターレ,FW,9,森本　貴幸,1988/05/07,180,77
川崎フロンターレ,FW,11,小林　悠,1987/09/23,177,72
川崎フロンターレ,FW,20,知念　慶,1995/03/17,177,71
川崎フロンターレ,FW,22,ハイネル,1990/09/05,172,65
川崎フロンターレ,FW,27,大塚　翔平,1990/04/11,177,72
鹿島アントラーズ,GK,1,クォン　スンテ,1984/09/11,184,85
鹿島アントラーズ,GK,21,曽ヶ端　準,1979/08/02,187,80
鹿島アントラーズ,GK,29,川俣　慎一郎,1989/07/23,188,86
鹿島アントラーズ,DF,3,昌子　源,1992/12/11,182,74
鹿島アントラーズ,DF,5,植田　直通,1994/10/24,186,79
鹿島アントラーズ,DF,15,三竿　雄斗,1991/04/16,175,70
鹿島アントラーズ,DF,16,山本　脩斗,1985/06/01,180,69
鹿島アントラーズ,DF,17,ブエノ,1995/08/24,182,79
鹿島アントラーズ,DF,22,西　大伍,1987/08/28,176,73
鹿島アントラーズ,DF,23,小田　逸稀,1998/07/16,173,68
鹿島アントラーズ,DF,24,伊東　幸敏,1993/09/03,176,68
鹿島アントラーズ,DF,28,町田　浩樹,1997/08/25,190,80
鹿島アントラーズ,MF,4,レオ　シルバ,1985/12/24,181,76
鹿島アントラーズ,MF,6,永木　亮太,1988/06/04,173,72
鹿島アントラーズ,MF,8,土居　聖真,1992/05/21,172,63
鹿島アントラーズ,MF,11,レアンドロ,1993/05/12,177,76
鹿島アントラーズ,MF,13,中村　充孝,1990/09/13,174,67
鹿島アントラーズ,MF,20,三竿　健斗,1996/04/16,181,73
鹿島アントラーズ,MF,25,遠藤　康,1988/04/07,168,69
鹿島アントラーズ,MF,26,久保田　和音,1997/01/01,170,62
鹿島アントラーズ,MF,27,梅鉢　貴秀,1992/06/08,177,67
鹿島アントラーズ,MF,33,金崎　夢生,1989/02/16,180,70
鹿島アントラーズ,MF,36,田中　稔也,1997/12/02,175,65
鹿島アントラーズ,MF,40,小笠原　満男,1979/04/05,173,72
鹿島アントラーズ,FW,7,ペドロ　ジュニオール,1987/01/29,182,75
鹿島アントラーズ,FW,9,鈴木　優磨,1996/04/26,182,75
鹿島アントラーズ,FW,14,金森　健志,1994/04/04,171,74
鹿島アントラーズ,FW,30,安部　裕葵,1999/01/28,171,65
セレッソ大阪,GK,1,圍　謙太朗,1991/04/23,190,90
セレッソ大阪,GK,21,キム　ジンヒョン,1987/07/06,192,82
セレッソ大阪,GK,27,丹野　研太,1986/08/30,184,75
セレッソ大阪,GK,32,アン　ジュンス,1998/01/28,188,78
セレッソ大阪,GK,45,茂木　秀,1999/01/15,195,80
セレッソ大阪,GK,,永石　拓海,1996/02/16,191,86
セレッソ大阪,GK,,林　祥太郎,2000/10/11,184,69
セレッソ大阪,GK,,光藤　諒也,1999/05/28,183,72
セレッソ大阪,DF,2,松田　陸,1991/07/24,171,69
セレッソ大阪,DF,3,茂庭　照幸,1981/09/08,181,82
セレッソ大阪,DF,4,藤本　康太,1986/04/02,177,76
セレッソ大阪,DF,5,田中　裕介,1986/04/14,181,77
セレッソ大阪,DF,14,丸橋　祐介,1990/09/02,178,73
セレッソ大阪,DF,20,酒本　憲幸,1984/09/08,175,73
セレッソ大阪,DF,22,マテイ　ヨニッチ,1991/01/29,187,83
セレッソ大阪,DF,23,山下　達也,1987/11/07,182,73
セレッソ大阪,DF,28,温井　駿斗,1996/11/14,177,65
セレッソ大阪,DF,29,舩木　翔,1998/04/13,177,65
セレッソ大阪,DF,37,森下　怜哉,1998/11/01,180,68
セレッソ大阪,DF,,上田　恭平,1999/05/07,172,62
セレッソ大阪,DF,,梅木　絢都,1999/11/20,180,66
セレッソ大阪,DF,,小林　洵,1999/05/07,187,72
セレッソ大阪,DF,,齋藤　遼,1999/08/15,175,70
セレッソ大阪,DF,,瀬古　歩夢,2000/06/07,183,72
セレッソ大阪,MF,6,ソウザ,1988/03/08,183,75
セレッソ大阪,MF,7,関口　訓充,1985/12/26,171,66
セレッソ大阪,MF,10,山口　蛍,1990/10/06,173,72
セレッソ大阪,MF,15,木本　恭生,1993/08/06,183,73
セレッソ大阪,MF,16,水沼　宏太,1990/02/22,176,72
セレッソ大阪,MF,17,福満　隆貴,1992/02/22,171,63
セレッソ大阪,MF,24,山村　和也,1989/12/02,186,80
セレッソ大阪,MF,25,山内　寛史,1995/02/09,182,76
セレッソ大阪,MF,26,秋山　大地,1994/07/28,172,66
セレッソ大阪,MF,30,大山　武蔵,1998/09/11,167,61
セレッソ大阪,MF,34,阪本　将基,1996/06/24,170,62
セレッソ大阪,MF,35,沖野　将基,1996/12/13,165,62
セレッソ大阪,MF,36,斧澤　隼輝,1998/06/02,166,62
セレッソ大阪,MF,38,西本　雅崇,1996/06/11,177,63
セレッソ大阪,MF,46,清武　弘嗣,1989/11/12,172,66
セレッソ大阪,MF,,荒木　秀太,1999/09/11,171,64
セレッソ大阪,MF,,有水　亮,1999/08/10,172,70
セレッソ大阪,MF,,喜田　陽,2000/07/04,171,59
セレッソ大阪,MF,,鈴木　冬一,2000/05/30,163,66
セレッソ大阪,MF,,谷本　駿介,2001/03/07,171,75
セレッソ大阪,FW,8,柿谷　曜一朗,1990/01/03,177,68
セレッソ大阪,FW,9,杉本　健勇,1992/11/18,187,79
セレッソ大阪,FW,11,リカルド　サントス,1987/02/13,187,80
セレッソ大阪,FW,19,澤上　竜二,1993/10/08,181,77
セレッソ大阪,FW,31,山根　永遠,1999/02/05,167,67
セレッソ大阪,FW,40,岸本　武流,1997/07/16,174,66
セレッソ大阪,FW,47,米澤　令衣,1996/07/20,176,65
セレッソ大阪,FW,,中島　元彦,1999/04/18,170,66
セレッソ大阪,FW,,山田　寛人,2000/03/07,181,69
柏レイソル,GK,1,桐畑　和繁,1987/06/30,187,77
柏レイソル,GK,16,滝本　晴彦,1997/05/20,190,79
柏レイソル,GK,23,中村　航輔,1995/02/27,184,72
柏レイソル,GK,30,猿田　遥己,1999/04/23,190,79
柏レイソル,DF,2,鎌田　次郎,1985/07/28,179,74
柏レイソル,DF,3,ユン　ソギョン,1990/02/13,183,76
柏レイソル,DF,4,中谷　進之介,1996/03/24,184,79
柏レイソル,DF,5,中山　雄太,1997/02/16,181,76
柏レイソル,DF,13,小池　龍太,1995/08/29,169,63
柏レイソル,DF,21,橋口　拓哉,1994/09/27,190,85
柏レイソル,DF,22,輪湖　直樹,1989/11/26,171,65
柏レイソル,DF,26,古賀　太陽,1998/10/28,182,71
柏レイソル,DF,27,今井　智基,1990/11/29,178,78
柏レイソル,DF,29,中川　創,1999/06/01,184,71
柏レイソル,DF,31,宮本　駿晃,1999/06/04,171,65
柏レイソル,MF,6,小林　祐介,1994/10/23,172,60
柏レイソル,MF,7,大谷　秀和,1984/11/06,174,67
柏レイソル,MF,8,武富　孝介,1990/09/23,173,69
柏レイソル,MF,15,キム　ボギョン,1989/10/06,178,73
柏レイソル,MF,17,手塚　康平,1996/04/06,176,66
柏レイソル,MF,19,中川　寛斗,1994/11/03,155,57
柏レイソル,MF,28,栗澤　僚一,1982/09/05,170,64
柏レイソル,MF,37,細貝　萌,1986/06/10,177,69
柏レイソル,FW,9,クリスティアーノ,1987/01/12,183,83
柏レイソル,FW,10,大津　祐樹,1990/03/24,180,73
柏レイソル,FW,11,ディエゴ　オリヴェイラ,1990/06/22,179,75
柏レイソル,FW,14,伊東　純也,1993/03/09,176,68
柏レイソル,FW,20,ハモン　ロペス,1989/08/07,185,79
柏レイソル,FW,24,大島　康樹,1996/05/30,177,66
横浜Fマリノス,GK,21,飯倉　大樹,1986/06/01,181,75
横浜Fマリノス,GK,30,鈴木　彩貴,1987/04/13,184,80
横浜Fマリノス,GK,31,杉本　大地,1993/07/15,187,83
横浜Fマリノス,GK,32,原田　岳,1998/05/22,188,84
横浜Fマリノス,DF,2,パク　ジョンス,1994/04/12,188,76
横浜Fマリノス,DF,4,栗原　勇蔵,1983/09/18,184,80
横浜Fマリノス,DF,13,金井　貢史,1990/02/05,175,70
横浜Fマリノス,DF,22,中澤　佑二,1978/02/25,187,78
横浜Fマリノス,DF,23,下平　匠,1988/10/06,178,68
横浜Fマリノス,DF,24,山中　亮輔,1993/04/20,171,65
横浜Fマリノス,DF,27,松原　健,1993/02/16,180,73
横浜Fマリノス,DF,34,ミロシュ　デゲネク,1994/04/28,187,82
横浜Fマリノス,DF,46,西山　大雅,1999/08/24,180,69
横浜Fマリノス,MF,5,喜田　拓也,1994/08/23,169,63
横浜Fマリノス,MF,6,扇原　貴宏,1991/10/05,184,71
横浜Fマリノス,MF,8,中町　公祐,1985/09/01,174,74
横浜Fマリノス,MF,10,齋藤　学,1990/04/04,169,68
横浜Fマリノス,MF,14,天野　純,1991/07/19,175,64
横浜Fマリノス,MF,18,遠藤　渓太,1997/11/22,175,66
横浜Fマリノス,MF,20,マルティノス,1991/03/07,183,70
横浜Fマリノス,MF,25,前田　直輝,1994/11/17,175,66
横浜Fマリノス,MF,33,ダビド　バブンスキー,1994/03/01,178,68
横浜Fマリノス,MF,35,吉尾　海夏,1998/06/28,168,63
横浜Fマリノス,MF,37,イッペイ　シノヅカ,1995/03/20,177,67
横浜Fマリノス,MF,41,山田　康太,1999/07/10,172,57
横浜Fマリノス,MF,44,堀　研太,1999/04/09,164,64
横浜Fマリノス,MF,45,椿　直起,2000/06/23,169,58
横浜Fマリノス,FW,7,ウーゴ　ヴィエイラ,1988/07/25,178,73
横浜Fマリノス,FW,16,伊藤　翔,1988/07/24,184,76
横浜Fマリノス,FW,17,富樫　敬真,1993/08/10,178,73
ジュビロ磐田,GK,1,八田　直樹,1986/06/24,185,76
ジュビロ磐田,GK,21,カミンスキー,1990/11/26,191,82
ジュビロ磐田,GK,31,志村　滉,1996/04/27,186,76
ジュビロ磐田,GK,36,三浦　龍輝,1992/05/17,181,75
ジュビロ磐田,DF,2,中村　太亮,1989/07/19,183,67
ジュビロ磐田,DF,3,大井　健太郎,1984/05/14,181,75
ジュビロ磐田,DF,5,櫻内　渚,1989/08/11,176,73
ジュビロ磐田,DF,24,小川　大貴,1991/10/16,172,73
ジュビロ磐田,DF,25,大南　拓磨,1997/12/13,184,72
ジュビロ磐田,DF,33,藤田　義明,1983/01/12,180,76
ジュビロ磐田,DF,35,森下　俊,1986/05/11,178,71
ジュビロ磐田,DF,41,高橋　祥平,1991/10/27,180,70
ジュビロ磐田,MF,7,上田　康太,1986/05/09,174,67
ジュビロ磐田,MF,8,ムサエフ,1989/01/02,183,74
ジュビロ磐田,MF,9,太田　吉彰,1983/06/11,176,72
ジュビロ磐田,MF,10,中村　俊輔,1978/06/24,178,71
ジュビロ磐田,MF,11,松浦　拓弥,1988/12/21,167,64
ジュビロ磐田,MF,13,宮崎　智彦,1986/11/21,170,68
ジュビロ磐田,MF,14,松本　昌也,1995/01/25,175,69
ジュビロ磐田,MF,15,アダイウトン,1990/12/06,176,83
ジュビロ磐田,MF,19,山田　大記,1988/12/27,173,69
ジュビロ磐田,MF,23,山本　康裕,1989/10/29,179,79
ジュビロ磐田,MF,26,藤川　虎太朗,1998/07/24,171,66
ジュビロ磐田,MF,27,荒木　大吾,1994/02/17,178,73
ジュビロ磐田,MF,30,上原　力也,1996/08/25,174,66
ジュビロ磐田,MF,34,針谷　岳晃,1998/10/15,166,56
ジュビロ磐田,MF,38,伊藤　洋輝,1999/05/12,188,79
ジュビロ磐田,MF,40,川辺　駿,1995/09/08,178,70
ジュビロ磐田,FW,16,齊藤　和樹,1988/11/21,178,71
ジュビロ磐田,FW,18,小川　航基,1997/08/08,183,77
ジュビロ磐田,FW,20,川又　堅碁,1989/10/14,184,76
ジュビロ磐田,FW,37,中野　誠也,1995/07/23,172,67
浦和レッズ,GK,1,西川　周作,1986/06/18,183,81
浦和レッズ,GK,23,岩舘　直,1988/08/17,183,78
浦和レッズ,GK,25,榎本　哲也,1983/05/02,180,76
浦和レッズ,GK,28,福島　春樹,1993/04/08,182,78
浦和レッズ,DF,2,マウリシオ,1992/02/06,183,82
浦和レッズ,DF,4,那須　大亮,1981/10/10,180,77
浦和レッズ,DF,5,槙野　智章,1987/05/11,182,77
浦和レッズ,DF,6,遠藤　航,1993/02/09,178,75
浦和レッズ,DF,17,田村　友,1992/11/22,185,88
浦和レッズ,DF,44,橋岡　大樹,1999/05/17,182,73
浦和レッズ,DF,46,森脇　良太,1986/04/06,177,75
浦和レッズ,DF,,大西　翔也,1999/10/07,175,69
浦和レッズ,MF,3,宇賀神　友弥,1988/03/23,172,71
浦和レッズ,MF,7,梅崎　司,1987/02/23,169,68
浦和レッズ,MF,10,柏木　陽介,1987/12/15,176,73
浦和レッズ,MF,14,平川　忠亮,1979/05/01,172,72
浦和レッズ,MF,15,長澤　和輝,1991/12/16,172,68
浦和レッズ,MF,16,青木　拓矢,1989/09/16,179,77
浦和レッズ,MF,18,駒井　善成,1992/06/06,168,64
浦和レッズ,MF,22,阿部　勇樹,1981/09/06,178,77
浦和レッズ,MF,38,菊池　大介,1991/04/12,172,68
浦和レッズ,MF,39,矢島　慎也,1994/01/18,171,67
浦和レッズ,MF,,井澤　春輝,1999/06/14,178,73
浦和レッズ,MF,,荻原　拓也,1999/11/23,175,69
浦和レッズ,FW,8,ラファエル　シルバ,1992/04/04,179,73
浦和レッズ,FW,9,武藤　雄樹,1988/11/07,170,68
浦和レッズ,FW,13,高木　俊幸,1991/05/25,170,64
浦和レッズ,FW,19,オナイウ　阿道,1995/11/08,180,74
浦和レッズ,FW,20,李　忠成,1985/12/19,182,73
浦和レッズ,FW,21,ズラタン,1983/12/15,186,80
浦和レッズ,FW,30,興梠　慎三,1986/07/31,175,72
サガン鳥栖,GK,1,赤星　拓,1984/04/21,185,80
サガン鳥栖,GK,12,辻　周吾,1997/07/21,187,80
サガン鳥栖,GK,21,板橋　洋青,2001/08/11,185,75
サガン鳥栖,GK,30,ファンティーニ　燦,1998/05/24,182,78
サガン鳥栖,GK,33,権田　修一,1989/03/03,187,83
サガン鳥栖,DF,2,三丸　拡,1993/07/06,172,69
サガン鳥栖,DF,5,キム　ミンヒョク,1992/02/27,187,73
サガン鳥栖,DF,8,藤田　優人,1986/05/08,176,75
サガン鳥栖,DF,13,小林　祐三,1985/11/15,176,72
サガン鳥栖,DF,15,鄭　昇玄,1994/04/03,188,89
サガン鳥栖,DF,23,吉田　豊,1990/02/17,168,69
サガン鳥栖,DF,35,青木　剛,1982/09/28,183,75
サガン鳥栖,DF,41,倉員　宏人,1999/05/29,174,71
サガン鳥栖,DF,42,藤松　航矢,1999/09/10,177,67
サガン鳥栖,MF,4,原川　力,1993/08/18,175,72
サガン鳥栖,MF,6,福田　晃斗,1992/05/01,170,65
サガン鳥栖,MF,7,河野　広貴,1990/03/30,168,65
サガン鳥栖,MF,14,高橋　義希,1985/05/14,170,67
サガン鳥栖,MF,25,安　庸佑,1991/08/10,177,69
サガン鳥栖,MF,28,石川　啓人,1998/07/16,172,64
サガン鳥栖,MF,29,谷口　博之,1985/06/27,182,73
サガン鳥栖,MF,43,森山　真伍,1999/08/31,169,63
サガン鳥栖,MF,50,水野　晃樹,1985/09/06,173,66
サガン鳥栖,FW,9,趙　東建,1986/04/16,180,75
サガン鳥栖,FW,11,豊田　陽平,1985/04/11,185,79
サガン鳥栖,FW,22,池田　圭,1986/10/20,178,72
サガン鳥栖,FW,27,田川　亨介,1999/02/11,181,70
サガン鳥栖,FW,32,ビクトル　イバルボ,1990/05/19,188,79
サガン鳥栖,FW,40,小野　裕二,1992/12/22,170,69
ヴィッセル神戸,GK,1,前川　黛也,1994/09/08,191,86
ヴィッセル神戸,GK,18,キム　スンギュ,1990/09/30,187,76
ヴィッセル神戸,GK,28,吉丸　絢梓,1996/03/27,184,70
ヴィッセル神戸,GK,30,徳重　健太,1984/03/09,187,87
ヴィッセル神戸,GK,,坪井　湧也,1999/08/23,182,70
ヴィッセル神戸,DF,3,渡部　博文,1987/07/07,186,80
ヴィッセル神戸,DF,4,北本　久仁衛,1981/09/18,181,78
ヴィッセル神戸,DF,5,岩波　拓也,1994/06/18,186,72
ヴィッセル神戸,DF,6,高橋　峻希,1990/05/04,170,70
ヴィッセル神戸,DF,22,橋本　和,1986/09/14,181,72
ヴィッセル神戸,DF,25,東　隼也,1997/11/13,176,72
ヴィッセル神戸,DF,26,山口　真司,1996/04/26,172,64
ヴィッセル神戸,DF,34,藤谷　壮,1997/10/28,178,62
ヴィッセル神戸,DF,38,宮　大樹,1996/04/01,186,82
ヴィッセル神戸,DF,39,伊野波　雅彦,1985/08/28,179,74
ヴィッセル神戸,DF,,小林　友希,2000/07/18,183,73
ヴィッセル神戸,DF,,前川　智敬,1999/04/07,168,66
ヴィッセル神戸,DF,,右田　楓,2000/05/18,175,68
ヴィッセル神戸,MF,7,ニウトン,1987/04/21,185,88
ヴィッセル神戸,MF,8,ウエスクレイ,1991/10/11,173,69
ヴィッセル神戸,MF,14,藤田　直之,1987/06/22,176,72
ヴィッセル神戸,MF,15,小林　成豪,1994/01/08,176,65
ヴィッセル神戸,MF,16,高橋　秀人,1987/10/17,184,75
ヴィッセル神戸,MF,17,田中　英雄,1983/03/01,172,65
ヴィッセル神戸,MF,23,松下　佳貴,1994/03/03,174,67
ヴィッセル神戸,MF,24,三原　雅俊,1988/08/02,175,67
ヴィッセル神戸,MF,29,大森　晃太郎,1992/04/28,167,63
ヴィッセル神戸,MF,31,中坂　勇哉,1997/08/05,171,61
ヴィッセル神戸,MF,35,安井　拓也,1998/11/21,172,66
ヴィッセル神戸,FW,9,ハーフナー　マイク,1987/05/20,195,92
ヴィッセル神戸,FW,10,ルーカス　ポドルスキ,1985/06/04,182,83
ヴィッセル神戸,FW,11,レアンドロ,1985/02/12,176,70
ヴィッセル神戸,FW,13,小川　慶治朗,1992/07/14,170,65
ヴィッセル神戸,FW,19,渡邉　千真,1986/08/10,182,77
ヴィッセル神戸,FW,21,田中　順也,1987/07/15,181,75
ヴィッセル神戸,FW,33,大槻　周平,1989/05/26,178,73
ヴィッセル神戸,FW,,池田　修志,1999/07/19,174,60
ヴィッセル神戸,FW,,佐々木　大樹,1999/09/17,180,74
ヴィッセル神戸,FW,,原　尊,2000/06/17,171,68
ガンバ大阪,GK,1,東口　順昭,1986/05/12,184,78
ガンバ大阪,GK,18,藤ヶ谷　陽介,1981/02/13,185,82
ガンバ大阪,GK,19,鈴木　椋大,1994/02/10,191,85
ガンバ大阪,GK,31,林　瑞輝,1996/09/04,181,75
ガンバ大阪,GK,41,谷　晃生,2000/11/22,187,78
ガンバ大阪,GK,58,棟方　博文,1995/04/18,181,70
ガンバ大阪,DF,2,三浦　弦太,1995/03/01,183,77
ガンバ大阪,DF,3,ファビオ,1989/02/28,186,78
ガンバ大阪,DF,4,藤春　廣輝,1988/11/28,175,60
ガンバ大阪,DF,6,金　正也,1988/05/17,183,74
ガンバ大阪,DF,14,米倉　恒貴,1988/05/17,176,68
ガンバ大阪,DF,22,オ　ジェソク,1990/01/04,178,74
ガンバ大阪,DF,32,野田　裕喜,1997/07/27,181,73
ガンバ大阪,DF,35,初瀬　亮,1997/07/10,175,64
ガンバ大阪,DF,42,ペ　スヨン,1998/06/07,188,78
ガンバ大阪,DF,45,足立　丈英,1999/04/17,184,71
ガンバ大阪,DF,46,臼井　貫太,1999/10/09,173,61
ガンバ大阪,DF,47,奥井　大貴,1999/06/27,165,60
ガンバ大阪,DF,48,岸田　悠佑,1999/07/10,176,67
ガンバ大阪,DF,51,中島　大雅,1999/08/01,178,73
