チーム,背番号,氏名,生年月日,身長,体重,投,打
日本ハム,17,浦野　博司,1989.07.22,178,70,右,右
日本ハム,19,増井　浩俊,1984.06.26,181,70,右,右
日本ハム,20,上原　健太,1994.03.29,190,83,左,左
日本ハム,21,武田　久,1978.10.14,170,73,右,左
日本ハム,25,宮西　尚生,1985.06.02,180,75,左,左
日本ハム,28,新垣　勇人,1985.10.21,183,86,右,右
日本ハム,29,井口　和朋,1994.01.07,175,77,右,右
日本ハム,30,鍵谷　陽平,1990.09.23,177,83,右,右
日本ハム,31,村田　透,1985.05.20,183,80,右,左
日本ハム,34,堀　瑞輝,1998.05.10,177,72,左,左
日本ハム,35,榎下　陽大,1988.07.21,178,77,右,右
日本ハム,36,中村　勝,1991.12.11,184,83,右,右
日本ハム,39,高梨　裕稔,1991.06.05,187,85,右,右
日本ハム,40,高良　一輝,1994.06.25,178,78,右,右
日本ハム,43,白村　明弘,1991.12.11,187,84,右,左
日本ハム,46,瀬川　隼郎,1986.10.21,177,84,左,左
日本ハム,47,田中　豊樹,1993.12.01,180,94,右,右
日本ハム,48,高山　優希,1998.05.17,181,78,左,左
日本ハム,49,公文　克彦,1992.03.04,173,78,左,左
日本ハム,51,石川　直也,1996.07.11,191,85,右,右
日本ハム,53,立田　将太,1996.06.04,180,87,右,右
日本ハム,54,玉井　大翔,1992.06.16,178,78,右,右
日本ハム,55,マーティン,1986.06.02,203,98,右,右
日本ハム,57,杉浦　稔大,1992.02.25,189,86,右,右
日本ハム,59,吉田　侑樹,1994.02.16,187,83,右,右
日本ハム,63,上沢　直之,1994.02.06,187,88,右,右
日本ハム,8,近藤　健介,1993.08.09,173,87,右,左
日本ハム,10,清水　優心,1996.05.22,185,88,右,右
日本ハム,27,大野　奨太,1987.01.13,177,78,右,右
日本ハム,42,黒羽根　利規,1987.06.02,178,88,右,右
日本ハム,56,市川　友也,1985.05.09,176,81,右,右
日本ハム,60,郡　拓也,1998.04.25,178,76,右,右
日本ハム,66,大嶋　匠,1990.02.14,180,97,右,左
日本ハム,68,石川　亮,1995.07.20,180,84,右,右
日本ハム,2,杉谷　拳士,1991.02.04,173,77,右,左右
日本ハム,3,田中　賢介,1981.05.20,176,78,右,左
日本ハム,4,飯山　裕志,1979.07.13,178,78,右,右
日本ハム,5,レアード,1987.09.11,185,98,右,右
日本ハム,6,中田　翔,1989.04.22,183,104,右,右
日本ハム,9,中島　卓也,1991.01.11,176,73,右,左
日本ハム,12,松本　剛,1993.08.11,181,78,右,右
日本ハム,23,渡邉　諒,1995.04.30,178,78,右,右
日本ハム,24,森本　龍弥,1994.06.12,185,101,右,右
日本ハム,32,大累　進,1990.08.31,175,73,右,右
日本ハム,38,石井　一成,1994.05.06,180,77,右,左
日本ハム,45,平沼　翔太,1997.08.16,179,78,右,左
日本ハム,58,横尾　俊建,1993.05.27,177,90,右,右
日本ハム,62,髙濱　祐仁,1996.08.08,183,84,右,右
日本ハム,65,太田　賢吾,1997.01.19,186,81,右,左
日本ハム,70,今井　順之助,1998.05.25,177,88,右,左
日本ハム,7,西川　遥輝,1992.04.16,179,76,右,左
日本ハム,18,岡　大海,1991.07.15,185,77,右,右
日本ハム,26,淺間　大基,1996.06.21,183,79,右,左
日本ハム,33,大田　泰示,1990.06.09,188,95,右,右
日本ハム,37,矢野　謙次,1980.09.21,178,85,右,右
日本ハム,44,森山　恵佑,1994.05.02,188,92,左,左
日本ハム,50,宇佐美　塁大,1994.10.24,177,80,右,右
日本ハム,52,ドレイク,1990.04.12,183,90,右,右
日本ハム,61,姫野　優也,1997.04.02,184,81,右,左右
日本ハム,64,谷口　雄也,1992.06.01,182,87,右,左
日本ハム,67,岸里　亮佑,1995.04.03,180,71,右,左
ソフトバンク,11,中田　賢一,1982.05.11,180,83,右,右
ソフトバンク,13,二保　旭,1990.05.18,182,78,右,右
ソフトバンク,14,加治屋　蓮,1991.11.25,185,87,右,右
ソフトバンク,16,東浜　巨,1990.06.20,182,75,右,右
ソフトバンク,17,岩嵜　翔,1989.10.21,189,81,右,右
ソフトバンク,18,松坂　大輔,1980.09.13,183,93,右,右
ソフトバンク,20,寺原　隼人,1983.10.09,180,83,右,右
ソフトバンク,21,和田　毅,1981.02.21,179,82,左,左
ソフトバンク,25,田中　正義,1994.07.19,186,90,右,右
ソフトバンク,28,大隣　憲司,1984.11.19,175,89,左,左
ソフトバンク,29,石川　柊太,1991.12.27,185,86,右,右
ソフトバンク,30,武田　翔太,1993.04.03,186,85,右,右
ソフトバンク,34,山田　大樹,1988.07.30,189,99,左,左
ソフトバンク,35,モイネロ,1995.12.08,178,69,左,左
ソフトバンク,38,森　唯斗,1992.01.08,176,90,右,右
ソフトバンク,39,島袋　洋奨,1992.10.24,174,75,左,左
ソフトバンク,40,小澤　怜史,1998.03.09,181,81,右,左
ソフトバンク,41,千賀　滉大,1993.01.30,186,86,右,左
ソフトバンク,42,飯田　優也,1990.11.27,186,83,左,左
ソフトバンク,44,バンデンハーク,1985.05.22,198,105,右,右
ソフトバンク,47,髙橋　純平,1997.05.08,182,80,右,右
ソフトバンク,48,岡本　健,1992.10.29,179,84,右,右
ソフトバンク,49,古谷　優人,1999.02.19,176,76,左,左
ソフトバンク,50,攝津　正,1982.06.01,181,94,右,右
ソフトバンク,53,五十嵐　亮太,1979.05.28,178,94,右,右
ソフトバンク,56,星野　大地,1993.03.13,180,87,右,右
ソフトバンク,57,嘉弥真　新也,1989.11.23,173,68,左,左
ソフトバンク,58,サファテ,1981.04.09,193,102,右,右
ソフトバンク,63,笠原　大芽,1995.01.20,186,87,左,右
ソフトバンク,66,松本　裕樹,1996.04.14,182,80,右,左
ソフトバンク,67,笠谷　俊介,1997.03.17,173,72,左,左
ソフトバンク,90,スアレス,1991.03.01,188,95,右,右
ソフトバンク,12,髙谷　裕亮,1981.11.13,179,84,右,左
ソフトバンク,22,斐紹,1992.11.16,179,93,右,左
ソフトバンク,31,栗原　陵矢,1996.07.04,177,72,右,左
ソフトバンク,33,鶴岡　慎也,1981.04.11,175,78,右,右
ソフトバンク,45,谷川原　健太,1997.04.16,174,82,右,左
ソフトバンク,62,甲斐　拓也,1992.11.05,170,75,右,右
ソフトバンク,65,九鬼　隆平,1998.09.05,180,82,右,右
ソフトバンク,77,張本　優大,1990.10.13,181,86,右,右
ソフトバンク,0,川瀬　晃,1997.09.15,175,60,右,左
ソフトバンク,0,髙田　知季,1990.05.06,176,72,右,左
ソフトバンク,2,今宮　健太,1991.07.15,172,76,右,右
ソフトバンク,3,松田　宣浩,1983.05.17,180,88,右,右
ソフトバンク,4,川島　慶三,1983.10.05,172,70,右,右
ソフトバンク,8,明石　健志,1986.01.09,175,66,右,左
ソフトバンク,27,ジェンセン,1988.05.20,190,109,左,右
ソフトバンク,36,牧原　大成,1992.10.15,173,70,右,左
ソフトバンク,46,本多　雄一,1984.11.19,175,71,右,左
ソフトバンク,52,川﨑　宗則,1981.06.03,180,75,右,左
ソフトバンク,55,茶谷　健太,1998.01.16,185,81,右,右
ソフトバンク,59,古澤　勝吾,1996.09.05,177,79,右,右
ソフトバンク,61,黒瀬　健太,1997.08.12,181,90,右,右
ソフトバンク,68,三森　大貴,1999.02.21,184,70,右,左
ソフトバンク,69,曽根　海成,1995.04.24,175,67,右,左
ソフトバンク,1,内川　聖一,1982.08.04,185,90,右,右
ソフトバンク,6,吉村　裕基,1984.06.14,182,85,右,右
ソフトバンク,7,中村　晃,1989.11.05,175,83,左,左
ソフトバンク,9,柳田　悠岐,1988.10.09,188,93,右,左
ソフトバンク,23,城所　龍磨,1985.09.24,177,75,右,左
ソフトバンク,24,長谷川　勇也,1984.12.22,180,86,右,左
ソフトバンク,32,塚田　正義,1989.07.23,177,80,右,右
ソフトバンク,37,福田　秀平,1989.02.10,182,79,右,左
ソフトバンク,43,江川　智晃,1986.10.31,180,86,右,右
ソフトバンク,51,上林　誠知,1995.08.01,184,79,右,左
ソフトバンク,54,デスパイネ,1986.06.17,175,95,右,右
ソフトバンク,60,釜元　豪,1993.09.03,180,76,右,左
ソフトバンク,64,真砂　勇介,1994.05.04,185,80,右,右
ロッテ,11,佐々木　千隼,1994.06.08,181,83,右,右
ロッテ,12,石川　歩,1988.04.11,186,80,右,右
ロッテ,14,大谷　智久,1985.02.14,176,82,右,右
ロッテ,15,関谷　亮太,1991.05.10,180,84,右,右
ロッテ,16,涌井　秀章,1986.06.21,185,85,右,右
ロッテ,18,藤岡　貴裕,1989.07.17,183,85,左,左
ロッテ,19,唐川　侑己,1989.07.05,181,80,右,右
ロッテ,20,東條　大樹,1991.08.15,177,81,右,右
ロッテ,21,内　竜也,1985.07.13,182,87,右,右
ロッテ,23,酒居　知史,1993.01.02,178,80,右,右
ロッテ,27,古谷　拓哉,1981.07.14,180,74,左,左
ロッテ,28,松永　昂大,1988.04.16,175,82,左,左
ロッテ,29,西野　勇士,1991.03.06,182,82,右,右
ロッテ,30,大嶺　祐太,1988.06.16,184,80,右,左
ロッテ,31,田中　英祐,1992.04.02,180,75,右,右
ロッテ,33,南　昌輝,1989.01.18,182,88,右,右
ロッテ,34,土肥　星也,1995.07.07,186,82,左,左
ロッテ,36,有吉　優樹,1991.03.12,178,87,右,右
ロッテ,40,島　孝明,1998.06.26,180,82,右,右
ロッテ,41,成田　翔,1998.02.03,170,70,左,左
ロッテ,43,黒沢　翔太,1988.08.05,181,84,右,右
ロッテ,46,岩下　大輝,1996.10.02,181,80,右,右
ロッテ,47,田中　靖洋,1987.06.21,183,88,右,右
ロッテ,48,宮﨑　敦次,1992.12.08,171,72,左,左
ロッテ,49,チェン・グァンユウ,1990.10.29,179,75,左,左
ロッテ,51,信樂　晃史,1991.12.26,180,84,右,右
ロッテ,52,益田　直也,1989.10.25,177,80,右,右
ロッテ,55,スタンリッジ,1978.11.09,191,110,右,右
ロッテ,56,原　嵩,1997.12.06,185,85,右,右
ロッテ,58,高野　圭佑,1991.12.28,178,76,右,右
ロッテ,60,阿部　和成,1989.05.19,183,80,右,右
ロッテ,63,種市　篤暉,1998.09.07,183,83,右,右
ロッテ,64,二木　康太,1995.08.01,187,85,右,右
ロッテ,67,金森　敬之,1985.07.24,183,87,右,右
ロッテ,22,田村　龍弘,1994.05.13,174,80,右,右
ロッテ,24,吉田　裕太,1991.07.21,183,94,右,右
ロッテ,25,金澤　岳,1984.05.05,180,82,右,左
ロッテ,35,寺嶋　寛大,1992.10.12,184,84,右,右
ロッテ,45,宗接　唯人,1994.07.06,183,90,右,右
ロッテ,53,江村　直也,1992.05.06,176,83,右,右
ロッテ,99,柿沼　友哉,1993.05.12,180,82,右,右
ロッテ,2,根元　俊一,1983.07.08,177,77,右,左
ロッテ,5,ダフィー,1989.02.06,191,98,右,右
ロッテ,6,井口　資仁,1974.12.04,178,91,右,右
ロッテ,7,鈴木　大地,1989.08.18,175,79,右,左
ロッテ,8,中村　奨吾,1992.05.28,180,79,右,右
ロッテ,9,福浦　和也,1975.12.14,183,88,左,左
ロッテ,13,平沢　大河,1997.12.24,176,76,右,左
ロッテ,32,髙濱　卓也,1989.07.06,184,84,右,左
ロッテ,37,三木　亮,1991.10.25,175,78,右,右
ロッテ,42,パラデス,1988.11.25,191,91,右,左右
ロッテ,44,井上　晴哉,1989.07.03,180,114,右,右
ロッテ,50,大嶺　翔太,1991.09.17,180,82,右,右
ロッテ,54,ペーニャ,1982.01.23,191,118,右,右
ロッテ,57,香月　一也,1996.04.16,176,83,右,左
ロッテ,59,細谷　圭,1988.01.17,182,84,右,右
ロッテ,68,大木　貴将,1991.11.22,174,73,右,左
ロッテ,70,猪本　健太郎,1990.12.23,182,95,右,右
ロッテ,0,柴田　講平,1986.07.17,177,78,左,左
ロッテ,0,荻野　貴司,1985.10.21,172,75,右,右
ロッテ,1,清田　育宏,1986.02.11,180,85,右,右
ロッテ,3,角中　勝也,1987.05.25,180,85,右,左
ロッテ,10,サントス,1987.09.15,173,79,左,左
ロッテ,38,伊志嶺　翔大,1988.05.12,179,79,右,右
ロッテ,61,三家　和真,1993.08.13,180,80,右,左右
ロッテ,62,脇本　直人,1996.06.10,180,80,右,左
ロッテ,65,加藤　翔平,1991.03.28,183,84,右,左右
ロッテ,66,岡田　幸文,1984.07.06,177,70,左,左
ロッテ,69,肘井　竜蔵,1995.11.13,182,88,右,左
西武,11,今井　達也,1998.05.09,180,70,右,右
西武,12,郭　俊麟,1992.02.02,175,70,右,右
西武,14,増田　達至,1988.04.23,180,85,右,右
西武,15,大石　達也,1988.10.10,185,90,右,左
西武,16,菊池　雄星,1991.06.17,184,100,左,左
西武,17,髙橋　光成,1997.02.03,190,90,右,右
西武,18,多和田　真三郎,1993.04.13,182,82,右,右
西武,19,豊田　拓矢,1987.03.28,176,85,右,右
西武,20,野上　亮磨,1987.06.15,177,74,右,右
西武,21,十亀　剣,1987.11.07,183,88,右,右
西武,22,中塚　駿太,1994.12.26,191,103,右,右
西武,23,野田　昇吾,1993.06.27,167,72,左,左
西武,25,平井　克典,1991.12.20,180,83,右,右
西武,26,川越　誠司,1993.06.30,174,85,左,左
西武,28,藤原　良平,1986.02.15,183,81,右,右
西武,29,小石　博孝,1987.04.13,178,85,左,左
西武,30,岡本　洋介,1985.09.27,177,80,右,右
西武,31,岩尾　利弘,1987.07.20,179,80,右,左
西武,34,佐野　泰雄,1993.01.18,177,83,左,左
西武,35,牧田　和久,1984.11.10,177,85,右,右
西武,36,南川　忠亮,1992.01.13,180,87,右,右
西武,38,玉村　祐典,1995.11.04,181,79,右,右
西武,40,田村　伊知郎,1994.09.19,173,80,右,左
西武,41,誠,1994.07.23,185,85,右,右
西武,43,髙橋　朋己,1988.11.16,174,83,左,左
西武,45,本田　圭佑,1993.04.24,179,80,右,右
西武,47,シュリッター,1985.12.21,195,106,右,右
西武,48,武隈　祥太,1989.11.24,180,86,左,左
西武,50,福倉　健太郎,1991.08.03,177,75,右,右
西武,54,ウルフ,1980.11.29,191,104,右,右
西武,57,國場　翼,1993.12.05,181,83,右,左
西武,59,ガルセス,1990.01.17,180,82,左,左
西武,63,佐藤　勇,1994.09.18,182,85,左,左
西武,66,松本　直晃,1990.11.14,179,80,右,右
西武,67,藤田　航生,1997.12.11,173,75,左,左
西武,68,キャンデラリオ,1982.05.28,188,91,右,右
西武,69,ファイフ,1986.10.04,191,102,右,右
西武,10,森　友哉,1995.08.08,170,80,右,左
西武,27,炭谷　銀仁朗,1987.07.19,181,93,右,右
西武,37,岡田　雅利,1989.06.30,173,80,右,右
西武,49,上本　達之,1980.11.08,186,93,右,左
西武,62,駒月　仁人,1993.04.21,176,93,右,右
西武,64,中田　祥多,1990.02.22,182,85,右,右
西武,78,藤澤　亨明,1989.11.11,180,83,右,左
西武,0,水口　大地,1989.06.28,163,60,右,左
西武,0,木村　昇吾,1980.04.16,183,78,右,左
西武,3,浅村　栄斗,1990.11.12,182,90,右,右
西武,5,鬼﨑　裕司,1983.04.07,177,77,右,左
西武,6,源田　壮亮,1993.02.16,179,73,右,左
西武,8,渡辺　直人,1980.10.15,173,73,右,右
西武,32,永江　恭平,1993.05.07,174,80,右,左
西武,33,山川　穂高,1991.11.23,176,100,右,右
西武,39,呉　念庭,1993.06.07,178,75,右,左
西武,44,外崎　修汰,1992.12.20,177,75,右,右
西武,52,山田　遥楓,1996.09.30,179,78,右,右
西武,56,金子　一輝,1995.05.29,182,75,右,右
西武,60,中村　剛也,1983.08.15,175,102,右,右
西武,99,メヒア,1985.12.02,198,118,右,右
西武,1,栗山　巧,1983.09.03,177,85,右,左
西武,2,金子　侑司,1990.04.24,179,75,右,左右
西武,9,大﨑　雄太朗,1984.10.18,169,75,右,左
西武,46,鈴木　将平,1998.05.20,175,75,左,左
西武,51,木村　文紀,1988.09.13,182,88,右,右
西武,53,愛斗,1997.04.06,178,84,右,右
西武,55,秋山　翔吾,1988.04.16,184,85,右,左
西武,58,熊代　聖人,1989.04.18,175,75,右,右
西武,61,田代　将太郎,1989.12.13,178,75,左,左
西武,65,斉藤　彰吾,1989.05.14,179,80,左,左
西武,71,戸川　大輔,1996.04.29,188,88,右,左
西武,88,坂田　遼,1986.10.02,178,90,右,左
楽天,1,松井　裕樹,1995.10.30,174,74,左,左
楽天,11,岸　孝之,1984.12.04,180,77,右,右
楽天,14,則本　昂大,1990.12.17,178,82,右,左
楽天,15,小野　郁,1996.10.23,175,67,右,右
楽天,16,森　雄大,1994.08.19,184,74,左,左
楽天,17,塩見　貴洋,1988.09.06,182,77,左,左
楽天,19,藤平　尚真,1998.09.21,185,85,右,右
楽天,20,安樂　智大,1996.11.04,186,87,右,左
楽天,21,釜田　佳直,1993.10.26,177,77,右,右
楽天,22,戸村　健次,1987.10.20,185,76,右,右
楽天,26,金刃　憲人,1984.04.10,176,80,左,左
楽天,28,石橋　良太,1991.06.06,175,77,右,左
楽天,30,池田　隆英,1994.10.01,181,85,右,右
楽天,31,美馬　学,1986.09.19,169,75,右,左
楽天,34,武藤　好貴,1987.07.22,178,74,右,右
楽天,38,西宮　悠介,1991.05.01,180,80,左,左
楽天,41,青山　浩二,1983.08.12,180,80,右,右
楽天,42,ハーマン,1984.05.30,193,100,右,左
楽天,45,菅原　秀,1994.04.05,183,78,右,左
楽天,46,濱矢　廣大,1993.02.27,185,78,左,左
楽天,47,大塚　尚仁,1994.10.13,175,70,左,左
楽天,50,入野　貴大,1988.11.26,180,78,右,左
楽天,52,森原　康平,1991.12.26,185,88,右,左
楽天,53,高梨　雄平,1992.07.13,175,81,左,左
楽天,58,辛島　航,1990.10.18,173,72,左,左
楽天,59,菊池　保則,1989.09.18,180,80,右,左
楽天,60,古川　侑利,1995.09.08,178,78,右,右
楽天,61,鶴田　圭祐,1994.05.12,180,88,左,左
楽天,62,西口　直人,1996.11.14,183,83,右,右
楽天,63,小山　雄輝,1988.12.05,187,82,右,右
楽天,64,福山　博之,1989.03.27,172,70,右,右
楽天,69,野元　浩輝,1998.05.16,181,73,右,右
楽天,90,宮川　将,1990.10.19,184,87,右,右
楽天,91,久保　裕也,1980.05.23,177,78,右,右
楽天,93,コラレス,1990.05.25,188,102,右,右
楽天,94,宋　家豪,1992.09.06,185,92,右,左
楽天,98,今野　龍太,1995.05.11,178,70,右,右
楽天,29,小関　翔太,1991.09.06,181,81,右,右
楽天,37,嶋　基宏,1984.12.13,179,82,右,右
楽天,39,下妻　貴寛,1994.04.15,186,85,右,右
楽天,44,足立　祐一,1989.09.22,178,83,右,右
楽天,48,伊志嶺　忠,1985.06.22,178,78,右,左
楽天,65,堀内　謙伍,1997.04.15,174,82,右,左
楽天,68,細川　亨,1980.01.04,183,103,右,右
楽天,70,石原　彪,1999.03.08,172,96,右,右
楽天,0,阿部　俊人,1988.12.23,180,73,右,左
楽天,2,吉持　亮汰,1993.11.04,175,68,右,右
楽天,5,茂木　栄五郎,1994.02.14,171,75,右,左
楽天,6,藤田　一也,1982.07.03,175,75,右,左
楽天,8,今江　年晶,1983.08.26,180,89,右,右
楽天,33,銀次,1988.02.24,174,78,右,左
楽天,36,内田　靖人,1995.05.30,185,86,右,右
楽天,40,ウィーラー,1987.01.16,178,100,右,右
楽天,49,アマダー,1987.01.19,193,135,右,右
楽天,55,西田　哲朗,1991.09.04,180,78,右,右
楽天,56,中川　大志,1990.06.08,186,92,右,右
楽天,57,三好　匠,1993.06.07,174,75,右,右
楽天,66,村林　一輝,1997.10.06,180,73,右,右
楽天,67,クルーズ,1984.02.10,183,95,右,右
楽天,4,岡島　豪郎,1989.09.07,176,82,右,左
楽天,7,松井　稼頭央,1975.10.23,177,85,右,左右
楽天,9,オコエ　瑠偉,1997.07.21,185,90,右,右
楽天,23,聖澤　諒,1985.11.03,179,72,右,左
楽天,24,福田　将儀,1992.04.17,174,76,右,右
楽天,25,田中　和基,1994.08.08,181,75,右,左右
楽天,32,枡田　慎太郎,1987.07.08,178,80,右,左
楽天,35,島内　宏明,1990.02.02,180,75,左,左
楽天,51,フェルナンド,1992.04.13,175,79,右,右
楽天,54,ペゲーロ,1987.02.22,192,119,左,左
楽天,95,八百板　卓丸,1997.01.17,180,76,右,左
オリックス,11,松葉　貴大,1990.08.14,178,82,左,左
オリックス,13,山岡　泰輔,1995.09.22,172,68,右,左
オリックス,14,吉田　一将,1989.09.24,191,92,右,左
オリックス,15,佐藤　達也,1986.07.26,178,77,右,右
オリックス,16,平野　佳寿,1984.03.08,186,84,右,右
オリックス,17,山﨑　福也,1992.09.09,188,88,左,左
オリックス,18,岸田　護,1981.05.10,180,80,右,右
オリックス,19,金子　千尋,1983.11.08,180,77,右,左
オリックス,20,近藤　大亮,1991.05.29,177,75,右,右
オリックス,21,西　勇輝,1990.11.10,181,80,右,右
オリックス,25,コーク,1982.07.19,185,95,左,左
オリックス,26,東明　大貴,1989.06.15,178,77,右,右
オリックス,27,青山　大紀,1994.11.28,183,83,右,左
オリックス,28,塚原　頌平,1992.07.08,184,90,右,左
オリックス,29,ウエスト,1988.11.21,185,104,右,右
オリックス,32,ディクソン,1984.11.03,195,84,右,右
オリックス,35,比嘉　幹貴,1982.12.07,177,77,右,右
オリックス,36,髙木　伴,1990.06.01,180,80,右,右
オリックス,39,小林　慶祐,1992.11.02,187,86,右,右
オリックス,42,ヘルメン,1987.09.23,185,90,右,右
オリックス,43,山本　由伸,1998.08.17,177,77,右,右
オリックス,47,海田　智行,1987.09.02,179,81,左,左
オリックス,48,齋藤　綱記,1996.12.18,182,89,左,左
オリックス,49,澤田　圭佑,1994.04.27,178,96,右,左
オリックス,54,黒木　優太,1994.08.16,179,78,右,左
オリックス,57,山田　修義,1991.09.19,184,85,左,左
オリックス,58,金田　和之,1990.09.18,184,86,右,右
オリックス,59,根本　薫,1998.07.29,185,82,左,左
オリックス,60,赤間　謙,1990.11.14,180,80,右,右
オリックス,63,山﨑　颯一郎,1998.06.15,189,80,右,右
オリックス,64,佐野　皓大,1996.09.02,182,73,右,右
オリックス,65,八木　亮祐,1990.09.29,180,78,左,左
オリックス,66,吉田　凌,1997.06.20,181,75,右,右
オリックス,67,佐藤　世那,1997.06.02,181,84,右,右
オリックス,68,鈴木　優,1997.02.05,181,79,右,右
オリックス,69,大山　暁史,1988.10.06,168,74,左,左
オリックス,91,塚田　貴之,1993.09.26,184,86,左,左
オリックス,22,伊藤　光,1989.04.23,180,83,右,右
オリックス,23,伏見　寅威,1990.05.12,182,86,右,右
オリックス,37,若月　健矢,1995.10.04,179,87,右,右
オリックス,45,飯田　大祐,1990.09.19,181,85,右,右
オリックス,62,山崎　勝己,1982.08.16,180,88,右,右
オリックス,1,中島　宏之,1982.07.31,180,90,右,右
オリックス,3,安達　了一,1988.01.07,179,78,右,右
オリックス,4,モレル,1987.04.21,185,100,右,右
オリックス,5,西野　真弘,1990.08.02,167,68,右,左
オリックス,6,宗　佑磨,1996.06.07,181,78,右,左
オリックス,10,大城　滉二,1993.06.14,175,72,右,右
オリックス,30,岩﨑　恭平,1986.04.04,178,73,右,左
オリックス,31,小谷野　栄一,1980.10.10,177,88,右,右
オリックス,33,縞田　拓弥,1987.01.22,180,80,右,右
オリックス,38,小島　脩平,1987.06.05,177,78,右,左
オリックス,40,鈴木　昂平,1991.06.20,175,77,右,右
オリックス,44,園部　聡,1995.11.10,184,98,右,右
オリックス,52,岡﨑　大輔,1998.09.17,182,75,右,左
オリックス,61,奥浪　鏡,1995.08.29,176,100,右,右
オリックス,8,駿太,1993.03.05,180,83,右,左
オリックス,9,ロメロ,1988.10.17,188,100,右,右
オリックス,12,マレーロ,1988.07.02,191,95,右,右
オリックス,24,宮﨑　祐樹,1986.11.29,178,85,右,右
オリックス,34,吉田　正尚,1993.07.15,173,87,右,左
オリックス,46,川端　崇義,1985.02.04,176,80,右,右
オリックス,50,小田　裕也,1989.11.04,172,75,右,左
オリックス,53,吉田　雄人,1995.04.21,178,78,右,左
オリックス,55,Ｔ－岡田,1988.02.09,187,100,左,左
オリックス,56,武田　健吾,1994.04.18,183,82,右,右
オリックス,99,杉本　裕太郎,1991.04.05,190,94,右,右
